date,sif
2018-02-02,-0.0529874
2018-02-10,0.000382064
2018-02-18,-0.0930319
2018-03-06,0.0169421
2018-03-14,0.00931489
2018-03-22,0.0299557
2018-03-30,-0.0130794
2018-04-07,0.0115243
2018-04-15,0.102765
2018-04-23,0.137119
2018-05-01,0.11593
2018-05-09,0.200702
2018-05-17,0.381097
2018-05-25,0.575922
2018-06-02,0.763409
2018-06-10,0.646139
2018-06-18,0.850126
2018-06-26,0.369919
2018-07-04,0.744101
2018-07-12,0.606965
2018-07-20,0.799899
2018-07-28,0.774559
2018-08-05,0.706838
2018-08-13,0.698228
2018-08-21,0.508714
2018-08-29,0.450353
2018-09-06,0.305913
2018-09-14,0.350582
2018-09-22,0.26617
2018-09-30,0.362585
2018-10-08,0.0159023
2018-10-16,0.178126
2018-10-24,0.0843908
2018-11-01,0.12121
2018-11-09,0.0672832
2018-11-17,-0.0108849
2018-11-25,0.02241
2018-12-03,0.0490849
2018-12-11,-0.0373135
2018-12-19,-0.0175147
2018-12-27,-0.0175597
2019-01-01,-0.0868717
2019-01-09,-0.00375428
2019-01-17,-0.0381862
2019-01-25,0.0182922
2019-02-02,-0.0802498
2019-02-10,-0.0395971
2019-02-18,0.0912309
2019-02-26,-0.0588982
2019-03-06,0.0103377
2019-03-14,0.0453935
2019-03-22,-0.0115787
2019-03-30,0.0179688
2019-04-07,0.0810211
2019-04-15,0.0176392
2019-04-23,0.12527
2019-05-01,0.152144
2019-05-09,0.222363
2019-05-17,0.502276
2019-05-25,0.679868
2019-06-02,0.645181
2019-06-10,0.708357
2019-06-18,0.762314
2019-06-26,0.704232
2019-07-04,0.697138
2019-07-12,0.585647
2019-07-20,0.624112
2019-07-28,0.466948
2019-08-05,0.58346
2019-08-13,0.43774
2019-08-21,0.508044
2019-08-29,0.488281
2019-09-06,0.519699
2019-09-14,0.409868
2019-09-22,0.334061
2019-09-30,0.351197
2019-10-08,0.204653
2019-10-16,0.181598
2019-10-24,0.0937921
2019-11-01,0.0227486
2019-11-09,-0.081498
2019-11-17,0.0117329
2019-11-25,0.061899
2019-12-03,0.0027566
2019-12-11,0.00992417
2019-12-19,-0.00848608
2019-12-27,-0.0305629
2020-01-01,-0.0371886
2020-01-09,-0.0346929
2020-01-17,-0.0113301
2020-01-25,0.00581658
2020-02-02,-0.000923256
2020-02-10,0.0834608
2020-02-18,0.142393
2020-02-26,-0.00139792
2020-03-05,0.0351729
2020-03-13,-0.016376
2020-03-21,0.0222083
2020-03-29,0.0742199
2020-04-06,0.0496129
2020-04-14,0.0317548
2020-04-22,-0.0429708
2020-04-30,0.133894
2020-05-08,0.269288
2020-05-16,0.456338
2020-05-24,0.667343
2020-06-01,0.613044
2020-06-09,0.871053
2020-06-17,0.694374
2020-07-03,0.820868
2020-07-11,0.887975
2020-07-19,0.576922
2020-07-27,0.625831
2020-08-04,0.517996
2020-08-12,0.553992
2020-08-20,0.560525
2020-08-28,0.441692
2020-09-05,0.493303
2020-09-13,0.333644
2020-09-21,0.470644
2020-09-29,0.206964
2020-10-07,0.276872
2020-10-15,0.0970656
2020-10-23,0.0912052
2020-10-31,0.0744386
2020-11-08,0.000234804
2020-11-16,-0.122177
2020-11-24,0.0171991
2020-12-02,0.0264873
2020-12-10,-0.0256303
2020-12-18,-0.0155088
2020-12-26,0.0117703
2021-01-01,-0.04352
2021-01-09,-0.0491752
2021-01-17,0.0576647
2021-01-25,-0.0051469
2021-02-02,0.000969009
2021-02-10,0.104164
2021-02-18,-0.0297381
2021-02-26,0.0521797
2021-03-06,0.0712258
2021-03-14,0.0159204
2021-03-22,-0.0127999
2021-03-30,-0.00874416
2021-04-07,0.106918
2021-04-15,-0.0103726
2021-04-23,0.117096
2021-05-01,0.148588
2021-05-09,0.142774
2021-05-17,0.458264
2021-05-25,0.850879
2021-06-02,0.75775
2021-06-10,0.825845
2021-06-18,0.719855
2021-06-26,0.807198
2021-07-04,0.839767
2021-07-12,0.848775
2021-07-20,0.753161
2021-07-28,0.835176
2021-08-05,0.627645
2021-08-13,0.523256
2021-08-21,0.413928
2021-08-29,0.439726
2021-09-06,0.385682
2021-09-14,0.526609
2021-09-22,0.39766
2021-09-30,0.190767
2021-10-08,0.244656
2021-10-16,0.119531
2021-10-24,0.0999086
