date,sif
2018-02-02,0.0195
2018-02-10,0.0697281
2018-02-18,0.0195558
2018-03-06,0.0231966
2018-03-14,0.0711214
2018-03-22,0.149716
2018-03-30,0.205862
2018-04-07,0.176633
2018-04-15,0.237824
2018-04-23,0.272946
2018-05-01,0.184042
2018-05-09,0.22485
2018-05-17,0.618052
2018-05-25,0.810442
2018-06-02,0.916752
2018-06-10,1.03701
2018-06-18,0.997161
2018-06-26,0.768315
2018-07-04,0.637964
2018-07-12,0.969177
2018-07-20,0.709334
2018-07-28,0.767654
2018-08-05,0.644762
2018-08-13,0.647254
2018-08-21,0.874232
2018-08-29,0.384432
2018-09-14,0.358155
2018-09-22,0.314502
2018-09-30,0.371546
2018-10-08,0.241436
2018-10-16,0.209582
2018-10-24,0.120459
2018-11-01,0.123057
2018-11-09,0.115003
2018-11-17,0.0149788
2018-11-25,0.0896445
2018-12-03,0.00869353
2018-12-11,0.0926767
2018-12-19,0.0727124
2018-12-27,0.109931
2019-01-01,0.0778782
2019-01-09,0.0024989
2019-01-17,-0.185935
2019-01-25,-0.0315366
2019-02-02,0.00264183
2019-02-10,-5.74256e-05
2019-02-18,0.0778234
2019-02-26,0.00992473
2019-03-06,0.150937
2019-03-14,0.0603244
2019-03-22,0.0472212
2019-03-30,0.181833
2019-04-07,0.10183
2019-04-15,0.101227
2019-04-23,0.153497
2019-05-01,0.267858
2019-05-09,0.23018
2019-05-17,0.395213
2019-05-25,0.553566
2019-06-02,0.87313
2019-06-10,0.653278
2019-06-18,0.691283
2019-07-04,0.509241
2019-07-12,1.00925
2019-07-20,0.791307
2019-07-28,0.636283
2019-08-05,0.71782
2019-08-13,0.566759
2019-08-21,0.452867
2019-08-29,0.382693
2019-09-06,0.497831
2019-09-14,0.613048
2019-09-22,0.417335
2019-09-30,0.433837
2019-10-08,0.283991
2019-10-16,0.235974
2019-10-24,0.187226
2019-11-01,0.160905
2019-11-09,0.0665593
2019-11-17,0.136765
2019-11-25,0.0479955
2019-12-03,0.0942653
2019-12-11,0.040274
2019-12-19,0.0611775
2019-12-27,0.0273839
2020-01-01,-0.1216
2020-01-09,0.0858664
2020-01-25,-0.125377
2020-02-02,0.0149153
2020-02-10,0.0237893
2020-02-18,0.037548
2020-02-26,0.0223715
2020-03-05,0.0200481
2020-03-13,0.225515
2020-03-21,0.0159287
2020-03-29,0.0889586
2020-04-06,0.058629
2020-04-14,0.0778317
2020-04-22,0.185682
2020-04-30,0.212732
2020-05-08,0.281896
2020-05-16,0.226583
2020-05-24,0.600524
2020-06-01,0.867418
2020-06-09,0.764998
2020-06-17,1.03078
2020-06-25,1.13241
2020-07-11,0.600562
2020-07-19,0.773412
2020-07-27,0.794466
2020-08-04,0.920452
2020-08-12,0.696246
2020-08-20,0.601407
2020-08-28,0.425845
2020-09-05,0.453831
2020-09-13,0.40693
2020-09-21,0.306321
2020-09-29,0.386302
2020-10-07,0.174964
2020-10-15,0.170441
2020-10-23,0.116384
2020-10-31,0.129956
2020-11-08,0.114265
2020-11-16,0.073741
2020-11-24,0.0394735
2020-12-02,0.0198304
2020-12-18,-0.0251058
2020-12-26,-0.039635
2021-01-09,0.094921
2021-01-17,0.0394093
2021-01-25,0.0145759
2021-02-02,-0.0723499
2021-02-10,0.0992919
2021-02-18,0.0305533
2021-02-26,0.0711123
2021-03-06,0.085006
2021-03-14,0.0732392
2021-03-22,0.108429
2021-03-30,0.197569
2021-04-07,0.148493
2021-04-15,0.176755
2021-04-23,0.224103
2021-05-01,0.151597
2021-05-09,0.229233
2021-05-25,0.675026
2021-06-02,0.731511
2021-06-10,0.92096
2021-06-18,0.860598
2021-06-26,0.2943
2021-07-12,0.941234
2021-07-20,0.688613
2021-07-28,0.826626
2021-08-05,0.457966
2021-08-13,0.712764
2021-08-21,0.44751
2021-08-29,0.407819
2021-09-06,0.337106
2021-09-14,0.486837
2021-09-22,0.296461
2021-09-30,0.200755
2021-10-08,0.241702
2021-10-16,0.104372
2021-10-24,0.0483696
