date,sif
2018-02-02,-0.0102882
2018-02-10,-0.0227657
2018-02-18,0.00969782
2018-03-06,0.237375
2018-03-14,0.202829
2018-03-22,0.136688
2018-03-30,0.183744
2018-04-07,0.134821
2018-04-15,0.246041
2018-04-23,0.333052
2018-05-01,0.240221
2018-05-09,0.24303
2018-05-17,0.439588
2018-05-25,0.734156
2018-06-02,0.754157
2018-06-10,0.916287
2018-06-18,1.03086
2018-07-04,0.836891
2018-07-12,0.867572
2018-07-20,0.947293
2018-07-28,0.856617
2018-08-05,0.836672
2018-08-13,0.903536
2018-08-21,0.835271
2018-08-29,0.456881
2018-09-06,0.610992
2018-09-14,0.572708
2018-09-22,0.454065
2018-09-30,0.394249
2018-10-08,0.260858
2018-10-16,0.19992
2018-10-24,0.161461
2018-11-01,0.122014
2018-11-09,0.12439
2018-11-17,0.00204721
2018-11-25,0.0782353
2018-12-03,0.0130107
2018-12-11,0.110457
2018-12-19,-0.0179358
2018-12-27,0.0235198
2019-01-01,0.0299308
2019-01-09,0.0506694
2019-01-17,-0.0185444
2019-01-25,0.0671186
2019-02-02,-0.0376208
2019-02-10,0.015042
2019-02-18,0.032433
2019-02-26,0.125784
2019-03-06,0.1671
2019-03-14,0.141727
2019-03-22,0.311607
2019-03-30,0.162253
2019-04-07,0.223513
2019-04-15,0.214016
2019-04-23,0.277682
2019-05-01,0.318033
2019-05-09,0.38251
2019-05-17,0.732264
2019-05-25,0.730417
2019-06-02,1.01759
2019-06-10,0.477268
2019-06-18,0.910297
2019-06-26,1.2147
2019-07-04,0.828825
2019-07-12,1.02775
2019-07-20,0.629061
2019-08-05,0.738345
2019-08-13,0.581758
2019-08-21,0.775911
2019-08-29,0.572275
2019-09-06,0.476191
2019-09-14,0.528368
2019-09-22,0.487307
2019-09-30,0.316306
2019-10-08,0.22086
2019-10-16,0.168002
2019-10-24,0.194922
2019-11-01,0.131212
2019-11-09,0.123141
2019-11-17,0.0307759
2019-11-25,0.0638453
2019-12-03,0.0303309
2019-12-11,0.0480553
2019-12-19,0.0429406
2019-12-27,0.0195658
2020-01-01,0.0178765
2020-01-09,0.117863
2020-01-17,0.00559434
2020-01-25,0.0101491
2020-02-02,0.0404783
2020-02-10,-0.00369393
2020-02-18,-0.00162078
2020-02-26,0.022352
2020-03-05,0.0218458
2020-03-13,0.0919105
2020-03-21,0.181248
2020-03-29,0.215223
2020-04-06,0.254656
2020-04-14,0.341022
2020-04-30,0.278435
2020-05-08,0.292286
2020-05-16,0.443581
2020-05-24,0.763531
2020-06-01,0.718245
2020-06-09,0.702358
2020-06-17,0.751608
2020-06-25,0.912573
2020-07-03,0.951197
2020-07-11,0.827067
2020-07-19,0.845629
2020-07-27,0.885397
2020-08-04,0.694988
2020-08-12,0.65124
2020-08-20,0.851073
2020-08-28,0.611503
2020-09-05,0.589382
2020-09-13,0.477225
2020-09-21,0.409762
2020-09-29,0.25286
2020-10-07,0.296699
2020-10-15,0.229358
2020-10-23,0.104532
2020-10-31,0.127057
2020-11-08,0.086997
2020-11-16,0.0431425
2020-11-24,0.183873
2020-12-02,0.0168889
2020-12-10,-0.0596786
2020-12-18,-0.0275974
2020-12-26,0.0885316
2021-01-01,-0.0552028
2021-01-09,0.0459512
2021-01-17,0.0325803
2021-01-25,0.083198
2021-02-02,-0.000352321
2021-02-10,0.0444038
2021-02-18,0.0795005
2021-02-26,-0.0654607
2021-03-06,0.147163
2021-03-14,0.120533
2021-03-22,0.137221
2021-03-30,0.230059
2021-04-07,0.226961
2021-04-23,0.227071
2021-05-01,0.401989
2021-05-09,0.271607
2021-05-17,0.522851
2021-05-25,0.693611
2021-06-02,0.912277
2021-06-10,0.880431
2021-06-18,1.10911
2021-06-26,0.950433
2021-07-04,0.917872
2021-07-12,0.98547
2021-07-20,0.857904
2021-07-28,0.877969
2021-08-05,0.694541
2021-08-13,0.740522
2021-08-21,0.670414
2021-08-29,0.596262
2021-09-06,0.589556
2021-09-14,0.470051
2021-09-22,0.348624
2021-09-30,0.346604
2021-10-08,0.321975
2021-10-16,0.136156
2021-10-24,0.137908
