date,sif
2018-02-02,8.93044e-05
2018-02-10,-0.0780448
2018-02-18,0.0416313
2018-03-06,-0.0935878
2018-03-14,0.103044
2018-03-22,0.0468907
2018-03-30,-0.0168712
2018-04-07,-0.000642192
2018-04-15,0.0266485
2018-04-23,0.119254
2018-05-01,-0.119862
2018-05-09,0.119092
2018-05-17,0.282166
2018-05-25,0.517268
2018-06-02,0.899799
2018-06-10,0.767016
2018-06-18,1.61227
2018-06-26,0.728881
2018-07-04,0.975768
2018-07-12,0.830418
2018-07-20,0.808435
2018-07-28,0.709597
2018-08-05,0.571959
2018-08-13,0.675994
2018-08-21,0.592168
2018-08-29,0.427418
2018-09-06,0.399605
2018-09-14,0.342809
2018-09-22,0.220818
2018-09-30,0.274696
2018-10-08,0.0845554
2018-10-16,0.154676
2018-10-24,0.0589665
2018-11-01,0.0659832
2018-11-09,0.081501
2018-11-17,-0.0166544
2018-11-25,0.0348497
2018-12-03,-0.000644562
2018-12-11,-0.00864222
2018-12-19,0.0314077
2018-12-27,-0.0279269
2019-01-01,0.0222082
2019-01-09,-0.0163029
2019-01-17,-0.0578582
2019-01-25,-0.0796859
2019-02-02,-0.0751873
2019-02-10,-0.050512
2019-02-18,0.0157264
2019-02-26,0.0377701
2019-03-06,0.0583771
2019-03-14,0.075432
2019-03-22,0.0105815
2019-03-30,-0.0181369
2019-04-07,-0.0192421
2019-04-15,-0.00177544
2019-04-23,0.0456886
2019-05-01,0.0698436
2019-05-09,0.128387
2019-05-17,0.326045
2019-05-25,0.704152
2019-06-02,0.883859
2019-06-10,0.716589
2019-06-18,1.02516
2019-06-26,0.966936
2019-07-04,1.0551
2019-07-20,0.899595
2019-07-28,0.700836
2019-08-05,0.746285
2019-08-13,0.523985
2019-08-21,0.578354
2019-08-29,0.543397
2019-09-06,0.546104
2019-09-14,0.371334
2019-09-22,0.422504
2019-09-30,0.267385
2019-10-08,0.168857
2019-10-16,0.158261
2019-10-24,0.0435707
2019-11-01,0.0899963
2019-11-09,0.000436415
2019-11-17,0.0196391
2019-11-25,-0.0195094
2019-12-03,-0.00808161
2019-12-11,-0.0219143
2019-12-19,-0.0231747
2019-12-27,-0.0112337
2020-01-01,-0.0107057
2020-01-09,0.0203856
2020-01-17,0.00809696
2020-01-25,-0.00914791
2020-02-02,-0.00799034
2020-02-10,-0.0435731
2020-02-18,0.01405
2020-02-26,-0.085979
2020-03-05,0.0488627
2020-03-13,-0.0710303
2020-03-21,0.0536666
2020-03-29,0.0624581
2020-04-06,0.0745868
2020-04-14,0.00690896
2020-04-22,0.14493
2020-04-30,0.0457196
2020-05-08,0.118512
2020-05-16,0.0803733
2020-05-24,0.581247
2020-06-01,0.718907
2020-06-09,0.991533
2020-06-17,0.856675
2020-07-03,0.954951
2020-07-11,1.11512
2020-07-19,1.05183
2020-07-27,0.802623
2020-08-04,0.6341
2020-08-12,0.643908
2020-08-20,0.684913
2020-08-28,0.676447
2020-09-05,0.511953
2020-09-13,0.3315
2020-09-21,0.264263
2020-09-29,0.224386
2020-10-07,0.218882
2020-10-15,0.117325
2020-10-23,0.0550907
2020-10-31,0.0755808
2020-11-08,0.0148096
2020-11-24,-0.0140407
2020-12-02,-0.0610351
2020-12-10,-0.121276
2020-12-18,-0.103018
2020-12-26,-0.0260148
2021-01-01,-0.0328615
2021-01-09,-0.0349105
2021-01-17,0.0697072
2021-01-25,0.0218083
2021-02-02,-0.0076073
2021-02-10,0.0136157
2021-02-18,-0.127349
2021-02-26,0.0656643
2021-03-06,0.0382993
2021-03-14,-0.0334814
2021-03-22,-0.0220506
2021-03-30,0.079519
2021-04-07,0.0324769
2021-04-15,0.0285484
2021-04-23,0.0591691
2021-05-01,0.0285264
2021-05-09,0.0825062
2021-05-17,0.285126
2021-05-25,0.662452
2021-06-02,0.836552
2021-06-10,0.902316
2021-06-18,1.04234
2021-06-26,1.09825
2021-07-04,0.856644
2021-07-12,1.00821
2021-07-20,0.855611
2021-07-28,0.682356
2021-08-05,0.703778
2021-08-13,0.778142
2021-08-21,0.354906
2021-08-29,0.47775
2021-09-06,0.366979
2021-09-14,0.507574
2021-09-22,0.420636
2021-09-30,0.241168
2021-10-08,0.180445
2021-10-16,0.0841383
2021-10-24,0.123444
