sds,ci_lo,ci_hi,n_n,n_s,site,season,var
0.6886381450236877,0.6230231020098771,0.7167835252711613,103,86,Oran,spring (1-4月),LE_corr
0.33586194985532214,0.22667278135974603,0.4317154382206996,103,86,Oran,spring (1-4月),EF_corr
0.6194802509494405,0.5419510270255697,0.6765884990878964,103,86,Oran,spring (1-4月),ET
0.6163963401223911,-0.9824437575715085,0.8258431142860413,181,15,Tarazona,spring (1-4月),LE_corr
0.216313686283025,-0.32792915709493564,0.3688707491426838,181,15,Tarazona,spring (1-4月),EF_corr
0.5508866333338797,-0.922929016280665,0.9891662838246412,181,15,Tarazona,spring (1-4月),ET
0.4147171690746342,-0.20880649173055238,0.6747128219048842,13,5,Oran,"shoulder (5,6,10月)",LE_corr
0.36101867734194404,0.2367720679492703,0.6110015621760887,13,5,Oran,"shoulder (5,6,10月)",EF_corr
0.38026074864283876,-0.08037835841956974,0.8374296723641484,13,5,Oran,"shoulder (5,6,10月)",ET
0.428755414210309,0.2869508407283325,0.5549524460694291,94,75,Tarazona,"shoulder (5,6,10月)",LE_corr
0.23470143372728824,0.12874722106735517,0.3279368341403324,94,75,Tarazona,"shoulder (5,6,10月)",EF_corr
0.3882664862914128,0.2846981165196054,0.5293095005337971,94,75,Tarazona,"shoulder (5,6,10月)",ET
,,,0,0,Oran,summer (7-9月),LE_corr
,,,0,0,Oran,summer (7-9月),EF_corr
,,,0,0,Oran,summer (7-9月),ET
0.2715713344551153,0.1442007888903661,0.35058467710121083,100,96,Tarazona,summer (7-9月),LE_corr
0.20349367061878992,0.13868685186761873,0.26482035081339417,100,96,Tarazona,summer (7-9月),EF_corr
0.15266370958479222,-0.11509383558492611,0.3307467847892244,100,96,Tarazona,summer (7-9月),ET
