date,SWC,LE,H,G,Rn,VPD_ec,ET,EF,site,VPD,NDWI_s2,NDWI_anom,GWS_cm,group_le,group
2018-01-01,15.21796,11.5732,-48.67511,-30.95477,-85.24116,4.080558,0.0167890086819162,,Oran,5.440191,-0.3273694233480844,-0.16573530697443645,-0.31959816530029794,wet_active,wet_shallow
2018-01-02,14.53903,0.3577828,-52.61316,-16.66886,-69.19712,3.293929,0.0005182683320765,,Oran,3.9408944,-0.3244178003228037,-0.16278368394915577,-0.3053616013852358,wet_inactive,wet_shallow
2018-01-03,14.30567,4.722485,-42.72751,-7.873446,-65.4574,3.592366,0.0068494726803839,,Oran,2.5700839,-0.3244178003228037,-0.16278368394915577,-0.29112503747017326,wet_active,wet_shallow
2018-01-04,14.31555,5.359939,-10.30081,5.01226,-1.606555,2.575147,0.0077822919384846,,Oran,3.2948906,-0.3244178003228037,-0.16278368394915577,-0.27688847355511115,wet_active,wet_shallow
2018-01-05,14.23207,6.509318,-15.81172,-12.85968,-30.72915,4.615052,0.0094648483551103,,Oran,4.180042,-0.3244178003228037,-0.16278368394915577,-0.2626519096400486,deep_access,wet_shallow
2018-01-06,13.54064,-3.178942,-15.03901,-41.12982,-62.12185,3.090948,0.0,,Oran,1.5899018,-0.3244178003228037,-0.16278368394915577,-0.24841534572498647,surface_dependent,wet_shallow
2018-01-11,21.89385,50.17653,-26.81705,-9.427101,-14.17393,2.795337,0.0726879174659357,,Oran,3.189659,-0.3542869360701304,-0.19265281969648246,-0.177232526149675,wet_active,wet_shallow
2018-01-12,16.79765,3.668936,-42.66312,-30.20761,-79.15712,2.846274,0.0052993503083156,,Oran,3.5121992,-0.3542869360701304,-0.19265281969648246,-0.16299596223461243,wet_active,wet_shallow
2018-01-13,15.85966,-1.768134,-9.534827,-31.3818,-52.29302,1.988383,0.0,,Oran,3.0652695,-0.3542869360701304,-0.19265281969648246,-0.14875939831955032,wet_inactive,wet_shallow
2018-01-14,15.53669,4.890814,-20.11266,-5.592013,-21.37375,3.626333,0.0070837245885915,,Oran,2.481703,-0.3542869360701304,-0.19265281969648246,-0.13452283440448776,wet_active,wet_shallow
2018-01-15,15.93782,1.204499,-9.631748,-18.24881,-27.43455,1.932427,0.001740010401067,,Oran,2.297952,-0.3542869360701304,-0.19265281969648246,-0.12028627048942564,wet_inactive,wet_shallow
2018-01-16,15.34702,2.33171,-11.63514,-37.94393,-68.93069,2.452775,0.0033667377783553,,Oran,4.204006,-0.348446699363976,-0.18681258299032805,-0.10604970657436308,wet_inactive,wet_shallow
2018-01-17,14.95315,0.3305622,-0.7476253,-42.41615,-53.40376,2.285481,0.0004777313116471,,Oran,3.5757148,-0.35077609261995385,-0.1891419762463059,-0.09181314265930096,wet_inactive,wet_shallow
2018-01-18,14.72426,-0.7106047,-7.625775,-44.93663,-55.75174,2.983803,0.0,,Oran,2.7773783,-0.35077609261995385,-0.1891419762463059,-0.0775765787442384,wet_inactive,wet_shallow
2018-01-19,14.56811,-2.731345,-23.10954,-24.15182,-44.55602,2.503744,0.0,,Oran,3.5041952,-0.35077609261995385,-0.1891419762463059,-0.06334001482917628,wet_inactive,wet_shallow
2018-01-20,14.38656,-0.07061213,-36.96888,-25.39092,-71.48437,3.794762,0.0,,Oran,5.7601743,-0.35077609261995385,-0.1891419762463059,-0.04910345091411372,wet_inactive,wet_shallow
2018-01-21,14.09324,-0.4496858,-36.88589,-10.29464,-72.46524,5.051491,0.0,,Oran,5.948769,-0.3589878028241743,-0.19735368645052637,-0.034866886999051605,surface_dependent,wet_shallow
2018-01-22,13.88357,1.912942,-53.79398,-12.86147,-70.8735,5.230436,0.0027824768301719,,Oran,5.1521773,-0.22420650678701284,-0.0625723904133649,-0.020630323083989044,surface_dependent,wet_shallow
2018-01-23,13.42058,-9.019741,-33.27378,-30.01208,-65.91797,3.468917,0.0,,Oran,5.7955723,-0.22420650678701284,-0.0625723904133649,-0.006393759168926927,surface_dependent,wet_shallow
2018-01-24,13.22537,-0.5321053,-2.417113,-42.28402,-54.15738,3.230196,0.0,,Oran,4.93071,-0.22420650678701284,-0.0625723904133649,0.007842804746135634,surface_dependent,wet_shallow
2018-01-25,13.17272,-0.5060502,-13.92821,-15.7589,-59.54111,3.889987,0.0,,Oran,3.5037334,-0.22420650678701284,-0.0625723904133649,0.02207936866119775,surface_dependent,wet_shallow
2018-01-26,13.08158,23.27997,-24.09426,-27.01253,-18.42034,2.651684,0.0337071981016349,,Oran,3.2896183,-0.0893831305077633,0.07225098586588465,0.03631593257626031,deep_access,wet_deep
2018-01-27,16.46393,2.15151,-15.3082,-23.57912,-41.82149,2.996128,0.0031074594889529,,Oran,4.504935,-0.16163411637364794,0.0,0.05055249649132243,wet_inactive,wet_shallow
2018-01-28,15.25463,0.8271248,-11.99265,-31.38289,-34.80286,3.291735,0.0011949154652231,,Oran,1.027538,-0.16163411637364794,0.0,0.06478906040638499,wet_inactive,wet_shallow
2018-01-29,19.91514,-7.367548,-38.12428,-10.34409,-65.11932,2.767717,0.0,,Oran,2.1657693,-0.16163411637364794,0.0,0.07902562432144711,wet_inactive,wet_shallow
2018-01-30,18.27432,-6.511976,-12.89001,-39.70765,-69.67844,1.875009,0.0,,Oran,1.5759835,-0.16163411637364794,0.0,0.09326218823650967,wet_inactive,wet_shallow
2018-01-31,17.46534,-5.188465,-14.90908,-39.35223,-68.96513,2.40119,0.0,,Oran,2.0451934,-0.2338851022395326,-0.07225098586588466,0.10749875215157179,wet_inactive,wet_shallow
2018-02-01,16.96176,-3.019593,-10.69765,-2.257671,-34.6062,2.414306,0.0,,Oran,2.4794838,-0.2338851022395326,0.06147093491217018,0.12173531606663435,wet_inactive,wet_deep
2018-02-02,21.34723,17.60591,-7.393415,-22.69019,-7.587976,3.114707,0.0254733662387832,1.1657833745436266,Oran,3.3276212,-0.2338851022395326,0.06147093491217018,0.13597187998169646,wet_active,wet_deep
2018-02-03,18.50255,8.248698,-39.89892,-31.77858,-81.60627,3.379946,0.011890986410902,,Oran,4.6681786,-0.2646205696956177,0.030735467456085075,0.15020844389675903,wet_active,wet_deep
2018-02-04,17.40135,21.702,-45.27649,-19.18321,-44.48572,5.199723,0.0313865578121101,,Oran,2.2283895,-0.2646205696956177,0.030735467456085075,0.16444500781182114,wet_active,wet_deep
2018-02-05,18.16534,-13.47394,-4.978189,-18.26827,-3.012736,2.294024,0.0,0.0,Oran,1.7390652,-0.2646205696956177,0.030735467456085075,0.1786815717268837,wet_inactive,wet_deep
2018-02-06,20.08332,-0.7526195,-3.449187,-31.81903,-57.59619,1.68368,0.0,,Oran,1.5441107,-0.2953560371517028,0.0,0.19291813564194582,wet_inactive,wet_shallow
2018-02-07,18.81538,7.242482,-30.86247,-25.84333,-70.5683,2.685071,0.0104343703964574,,Oran,2.6552496,-0.2953560371517028,0.0,0.20715469955700838,wet_active,wet_shallow
2018-02-08,17.7168,4.152748,-0.6800516,-16.58968,-36.66954,2.840662,0.0059806508755015,,Oran,3.2017384,-0.2824406525727886,0.012915384578914169,0.2213912634720705,wet_active,wet_deep
2018-02-09,17.09179,-0.4393674,-24.97892,-23.48034,-73.22968,2.427878,0.0,,Oran,3.7430496,-0.2695252679938744,0.025830769157828393,0.23562782738713306,wet_inactive,wet_deep
2018-02-10,16.7442,-2.027942,-29.86526,-25.84079,-63.53891,2.77601,0.0,,Oran,3.7952518,-0.29173072789675536,0.0036253092549474175,0.24986439130219518,wet_inactive,wet_deep
2018-02-11,16.20463,0.1008152,-46.02843,-23.96869,-71.20564,2.961535,0.0001453599487343,,Oran,4.7836394,-0.29173072789675536,0.0036253092549474175,0.26410095521725774,wet_inactive,wet_deep
2018-02-12,16.09149,-0.8143879,-61.70264,-2.01609,-72.02903,5.006001,0.0,,Oran,2.6004276,-0.29173072789675536,0.0036253092549474175,0.27833751913231985,wet_inactive,wet_deep
2018-02-13,19.58643,5.374833,-26.09916,-34.36046,-79.76061,3.077227,0.00775534466063,,Oran,4.489963,-0.29173072789675536,0.0036253092549474175,0.2925740830473824,wet_active,wet_deep
2018-02-14,18.07839,-2.571965,-63.73287,-8.215057,-69.81225,3.903887,0.0,,Oran,4.468282,-0.3139361877996363,-0.018580150647933502,0.30681064696244453,wet_inactive,wet_shallow
2018-02-15,17.42777,-4.944764,-40.3915,-12.78794,-58.10226,3.764715,0.0,,Oran,4.024095,-0.31643222527406184,-0.021076188122359063,0.3210472108775071,wet_inactive,wet_shallow
2018-02-16,16.93081,-0.5911723,-0.3552461,-31.07082,-50.56284,2.300638,0.0,,Oran,3.1543057,-0.3186393891062025,-0.02328335195449971,0.3352837747925692,wet_inactive,wet_shallow
2018-02-17,16.8644,-1.494722,-1.932424,-39.56908,-46.80108,2.048354,0.0,,Oran,3.4781618,-0.3186393891062025,-0.02328335195449971,0.3495203387076318,wet_inactive,wet_shallow
2018-02-18,16.41259,-3.526443,-14.51347,-31.28371,-56.14736,3.303254,0.0,,Oran,2.8121874,-0.3186393891062025,-0.02328335195449971,0.3637569026226939,wet_inactive,wet_shallow
2018-02-19,15.96297,-2.683631,-14.29639,-50.58871,-60.31154,3.076264,0.0,,Oran,4.91996,-0.3186393891062025,-0.02328335195449971,0.37799346653775645,wet_inactive,wet_shallow
2018-02-20,15.69698,-0.2754068,-6.361372,-33.95934,-55.62224,3.460567,0.0,,Oran,5.224483,-0.3183505154639175,-0.02299447831221474,0.39223003045281857,wet_inactive,wet_shallow
2018-02-21,15.43749,4.290932,-49.83163,-34.16868,-80.48506,3.721097,0.0062089861220473,,Oran,5.201116,-0.3183505154639175,-0.02299447831221474,0.40646659436788113,wet_active,wet_shallow
2018-02-22,15.53491,10.91341,-21.37106,-31.17875,-30.25888,4.403464,0.0157628827802307,,Oran,4.6061287,-0.3183505154639175,-0.02299447831221474,0.42070315828294325,wet_active,wet_shallow
2018-02-23,14.91295,3.249581,-19.23675,-52.29337,-75.66388,4.927107,0.004680744694472,,Oran,4.8664756,-0.3183505154639175,-0.02299447831221474,0.43493972219800536,wet_active,wet_shallow
2018-02-24,14.25865,-2.745243,-40.39277,-29.06441,-82.09921,2.847276,0.0,,Oran,3.9300668,-0.3183505154639175,-0.02299447831221474,0.4491762861130679,surface_dependent,wet_shallow
2018-02-25,14.16223,-3.719131,-37.4746,-36.10952,-76.00416,3.698203,0.0,,Oran,5.554565,-0.3183505154639175,-0.02299447831221474,0.46341285002813004,surface_dependent,wet_shallow
2018-03-06,22.26319,53.78948,-48.61401,-15.02707,-16.45421,3.834578,0.0779715256464873,,Oran,3.9544156,-0.3089244851258581,-0.3071275399326865,0.5915419252636913,wet_active,wet_shallow
2018-03-07,22.16682,35.53233,-33.1563,-29.83314,-29.18591,3.710966,0.0514528387950556,,Oran,4.993812,-0.3089244851258581,-0.3071275399326865,0.6057784891787534,wet_active,wet_shallow
2018-03-08,19.77474,15.25936,-12.25934,-23.61495,-13.96341,5.025536,0.02211807754375,,Oran,1.7374674,-0.325081982425209,-0.32328503723203744,0.620015053093816,wet_active,wet_shallow
2018-03-09,26.17294,-15.8177,-6.946414,55.48769,0.02499025,4.567608,0.0,,Oran,5.9330535,-0.325081982425209,-0.32328503723203744,0.6342516170088781,wet_inactive,wet_shallow
2018-03-10,22.32086,1.38949,-12.4892,-35.28392,-47.00467,5.303185,0.0020224728913823,,Oran,5.923529,-0.34123947972456,-0.3394425345313884,0.6484881809239407,wet_inactive,wet_shallow
2018-03-11,19.30317,12.34725,-33.01984,-47.58926,-75.0809,5.565701,0.0179325166021648,,Oran,4.057528,-0.33931970173799486,-0.3375227565448233,0.6627247448390028,wet_active,wet_shallow
2018-03-12,21.23297,24.30799,-51.61255,-30.23899,-65.85714,4.217735,0.0352287440982666,,Oran,6.101393,-0.3373999237514297,-0.3356029785582581,0.6769613087540653,wet_active,wet_shallow
2018-03-13,19.69081,-2.607114,-22.57054,-26.46179,-68.17354,3.966431,0.0,,Oran,5.8116994,-0.3373999237514297,-0.3356029785582581,0.6911978726691275,wet_inactive,wet_shallow
2018-03-14,19.00043,-4.188128,-9.239964,-40.24292,-46.5596,3.88858,0.0,,Oran,4.9558825,-0.3373999237514297,-0.3356029785582581,0.70543443658419,wet_inactive,wet_shallow
2018-03-15,20.42495,12.70735,-23.30923,-9.007723,-15.51286,8.290451,0.0185394034348574,,Oran,4.530835,-0.3373999237514297,-0.3356029785582581,0.7196710004992521,wet_active,wet_shallow
2018-03-16,18.53932,4.442907,-10.98406,-45.79356,-36.72569,4.289242,0.0064380418681934,,Oran,4.356876,-0.3373999237514297,-0.3356029785582581,0.7339075644143147,wet_active,wet_shallow
2018-03-24,18.76319,4.613568,-10.15108,-3.347447,-8.671556,4.729564,0.006703753717391,,Oran,4.948995,-0.31430763010561746,-0.3125106849124459,0.8478000757348134,wet_active,wet_shallow
2018-03-25,19.30874,22.55891,-32.94448,-17.13132,-26.27806,5.958073,0.0327164629577408,,Oran,4.7038236,-0.31430763010561746,-0.3125106849124459,0.862036639649876,wet_active,wet_shallow
2018-03-26,18.75462,-2.554296,-26.93023,-36.06376,-66.33147,3.396033,0.0,,Oran,5.626707,-0.31430763010561746,-0.3125106849124459,0.8762732035649377,wet_inactive,wet_shallow
2018-03-27,18.49507,3.668959,-31.87848,-40.652,-72.36089,5.346999,0.0053143644832776,,Oran,8.049875,-0.3221503225138836,-0.320353377320712,0.8905097674800002,wet_active,wet_shallow
2018-03-28,18.28886,5.320082,-50.48489,-28.60109,-73.52065,7.558214,0.0077481467157256,,Oran,11.1659355,-0.3313207547169811,-0.3295238095238095,0.9047463313950628,wet_active,wet_shallow
2018-03-29,19.29485,23.14709,-71.27326,-39.44393,-79.54097,13.80033,0.0337863440436885,,Oran,8.525994,-0.3313207547169811,-0.3295238095238095,0.9189828953101253,wet_active,wet_shallow
2018-03-30,17.29857,1.520698,-35.23266,-58.23294,-62.63092,5.177164,0.0022082840408538,,Oran,4.544156,-0.3313207547169811,-0.3295238095238095,0.933219459225187,wet_inactive,wet_shallow
2018-03-31,16.9715,22.53292,-46.68571,-21.05113,-55.94613,5.688544,0.0326754796479426,,Oran,6.3183236,-0.3313207547169811,-0.3295238095238095,0.9474560231402496,wet_active,wet_shallow
2018-04-01,17.57302,9.964525,-47.29769,-32.30995,-72.1704,6.380921,0.0144511550316176,,Oran,8.085627,-0.3313207547169811,-0.37109348198970826,0.9616925870553121,wet_active,wet_shallow
2018-04-09,21.9924,5.840447,-11.6046,-24.87868,-29.33124,5.457509,0.0084803558701924,,Oran,5.6384807,-0.2628099173553719,-0.3025826446280991,1.0755850983758108,wet_active,wet_shallow
2018-04-10,20.69301,11.24032,-12.01437,-40.63194,-17.77826,3.835555,0.0162666457631104,0.4918385135348005,Oran,3.254712,-0.2628099173553719,-0.3025826446280991,1.0898216622908725,wet_active,wet_shallow
2018-04-11,24.86421,7.908362,-34.13645,-59.92479,-66.25726,3.498045,0.0114240682215434,,Oran,3.7046044,-0.2628099173553719,-0.3025826446280991,1.104058226205935,wet_active,wet_shallow
2018-04-12,23.41838,28.43336,-69.2965,-27.40413,-66.18296,5.500546,0.0412140896006996,,Oran,5.1289563,-0.2628099173553719,-0.3025826446280991,1.1182947901209976,wet_active,wet_shallow
2018-04-13,23.06313,0.6770649,-0.8769327,-27.0607,-14.84741,3.90569,0.0009813111559697,0.05543673326351867,Oran,4.9430747,-0.2628099173553719,-0.3025826446280991,1.1325313540360602,wet_inactive,wet_shallow
2018-04-14,22.00549,2.915002,-5.998076,-22.89026,-18.67416,3.971149,0.0042242154372547,,Oran,6.845585,-0.26310958762698794,-0.3028823148997151,1.1467679179511219,wet_active,wet_shallow
