site,n_years,r_VPD,p_VPD,r_SWC,p_SWC,decoupling_sig
JP-Tak,21,-0.6818181818181818,0.0011997600479904018,0.4,0.07378524295140972,True
JP-Tef,21,-0.4402597402597402,0.04919016196760648,0.487012987012987,0.027194561087782444,True
JP-Fhk,18,-0.5356037151702786,0.026194761047790442,0.29411764705882354,0.2349530093981204,True
JP-Mse,8,-0.7857142857142858,0.028394321135772844,0.2380952380952381,0.5708858228354329,True
JP-Yms,6,-1.0,0.004399120175964807,0.7714285714285715,0.10177964407118577,True
JP-Tmd,19,-0.12280701754385966,0.6166766646670666,0.17719298245614035,0.47630473905218956,False
JP-SMF,12,-0.3846153846153847,0.21535692861427713,0.39860139860139865,0.20835832833433313,False
JP-Spp,11,-0.5727272727272729,0.07198560287942411,0.30000000000000004,0.3715256948610278,False
JP-Ta2,11,-0.26363636363636367,0.44571085782843434,0.4090909090909091,0.21155768846230755,False
CN-HaM,10,-0.34545454545454546,0.3297340531893621,0.01818181818181818,0.9764047190561888,False
JP-Fjy,10,-0.17575757575757575,0.6252749450109978,-0.13939393939393938,0.7074585082983403,False
JP-MMF,9,-0.06666666666666667,0.8754249150169966,0.6,0.08838232353529295,False
JP-MBF,8,-0.4523809523809524,0.27294541091781643,0.261904761904762,0.5434913017396521,False
JP-Ynf,8,-0.5952380952380953,0.1295740851829634,0.5000000000000001,0.20835832833433313,False
RU-Ege,8,-0.6190476190476191,0.11237752449510098,-0.04761904761904763,0.9352129574085183,False
TH-Mae,8,0.4285714285714286,0.29834033193361326,0.023809523809523815,0.9778044391121775,False
RU-SkP,7,-0.5357142857142858,0.2383523295340932,0.14285714285714288,0.7750449910017997,False
JP-BBY,5,0.8999999999999998,0.08778244351129774,-0.09999999999999999,0.9504099180163967,False
MN-Kbu,5,0.6,0.35072985402919415,-0.3,0.6832633473305338,False
MN-Nkh,5,-0.49999999999999994,0.4373125374925015,-0.09999999999999999,0.9498100379924015,False
CN-Lsh,4,-0.7999999999999999,0.3369326134773045,0.39999999999999997,0.7474505098980204,False
JP-Sb1,4,-0.39999999999999997,0.7474505098980204,-0.39999999999999997,0.7436512697460508,False
JP-Sb2,4,0.39999999999999997,0.7418516296740651,-0.39999999999999997,0.7406518696260748,False
MN-Hst,4,-0.39999999999999997,0.7418516296740651,0.39999999999999997,0.750249950009998,False
MN-Skt,4,0.0,1.0,0.0,1.0,False
