site,subsystem,n_years,n_syn,n_red,syn_frac,mean_z
CN-HaM,"呼吸制御 Rg,Ta,θ,GER",10,6,2,0.6,-4.230728194910048
CN-HaM,"蒸発制御 Rg,VPD,θ,γLE",10,0,10,0.0,15.586202538144374
CN-HaM,"光合成制御 Rg,Ta,VPD,GEP",10,0,10,0.0,29.291302841164093
CN-HaM,"炭素コア Rg,GEP,GER,NEE",10,0,10,0.0,19.83392040952352
CN-HaM,"土壌熱 Ta,Ts,θ,GER",10,3,7,0.3,6.278646119814146
CN-HaM,"エネルギー Rg,Ta,γH,γLE",10,0,10,0.0,27.48209593630517
CN-Lsh,"呼吸制御 Rg,Ta,θ,GER",4,3,1,0.75,-1.0266411373437894
CN-Lsh,"蒸発制御 Rg,VPD,θ,γLE",4,0,4,0.0,18.556475666528527
CN-Lsh,"光合成制御 Rg,Ta,VPD,GEP",4,0,4,0.0,25.11109572011405
CN-Lsh,"炭素コア Rg,GEP,GER,NEE",4,0,4,0.0,24.87935610701701
CN-Lsh,"土壌熱 Ta,Ts,θ,GER",4,1,1,0.25,1.3994703850711123
CN-Lsh,"エネルギー Rg,Ta,γH,γLE",4,0,4,0.0,32.70406699406052
JP-BBY,"呼吸制御 Rg,Ta,θ,GER",5,1,4,0.2,2.2688921030910327
JP-BBY,"蒸発制御 Rg,VPD,θ,γLE",5,0,5,0.0,34.847491666962924
JP-BBY,"光合成制御 Rg,Ta,VPD,GEP",5,0,5,0.0,26.794258086395928
JP-BBY,"炭素コア Rg,GEP,GER,NEE",5,0,5,0.0,34.963188470617006
JP-BBY,"土壌熱 Ta,Ts,θ,GER",5,1,3,0.2,2.620951061033989
JP-BBY,"エネルギー Rg,Ta,γH,γLE",5,0,5,0.0,59.708796344804135
JP-Fhk,"呼吸制御 Rg,Ta,θ,GER",18,3,11,0.16666666666666666,4.61408802342247
JP-Fhk,"蒸発制御 Rg,VPD,θ,γLE",18,0,18,0.0,24.03849199991669
JP-Fhk,"光合成制御 Rg,Ta,VPD,GEP",18,0,18,0.0,35.04563970976583
JP-Fhk,"炭素コア Rg,GEP,GER,NEE",18,0,18,0.0,23.354709690444533
JP-Fhk,"土壌熱 Ta,Ts,θ,GER",18,1,16,0.05555555555555555,17.452330664823872
JP-Fhk,"エネルギー Rg,Ta,γH,γLE",18,0,18,0.0,44.90086874355492
JP-Fjy,"呼吸制御 Rg,Ta,θ,GER",10,3,2,0.3,-0.5350657576403118
JP-Fjy,"蒸発制御 Rg,VPD,θ,γLE",10,0,10,0.0,19.864663754786427
JP-Fjy,"光合成制御 Rg,Ta,VPD,GEP",10,0,10,0.0,36.07818834725184
JP-Fjy,"炭素コア Rg,GEP,GER,NEE",10,0,10,0.0,25.870656436634448
JP-Fjy,"土壌熱 Ta,Ts,θ,GER",10,4,5,0.4,0.9460913653217329
JP-Fjy,"エネルギー Rg,Ta,γH,γLE",10,0,10,0.0,31.946986418755937
JP-MBF,"呼吸制御 Rg,Ta,θ,GER",8,5,1,0.625,-6.621308925611057
JP-MBF,"蒸発制御 Rg,VPD,θ,γLE",8,0,8,0.0,18.426686628086458
JP-MBF,"光合成制御 Rg,Ta,VPD,GEP",8,0,8,0.0,15.676598467041309
