name,date,product,B8,B4,B11,B3
Oran,2018-01-01,S2,1634.4630904496696,1112.9369069719469,2880.178836633663,842.749729269802
TzM,2018-01-01,S2,,,,
Oran,2018-01-01,S2,1701.1383173473594,1170.1983163160062,2974.6424556518136,902.5077996080853
TzM,2018-01-01,S2,2258.5376533490394,1571.8947597956476,3032.8009945740214,888.0952095062247
Oran,2018-01-04,S2,1614.0882193688112,1188.5677727929042,3054.487597978545,969.1184895833328
TzM,2018-01-04,S2,,,,
Oran,2018-01-16,S2,1656.4778516914184,1173.007064768976,3093.554571472772,869.1193404496695
TzM,2018-01-16,S2,,,,
Oran,2018-01-16,S2,1677.1907229785472,1210.8391991542896,3076.4876624381177,921.2749071782175
TzM,2018-01-16,S2,2300.8258136136565,1677.7917964634846,3176.617955572673,981.3196739881504
Oran,2018-01-21,S2,1643.5142197813523,1167.2829130569296,3106.4813067244213,884.749162025577
TzM,2018-01-21,S2,,,,
Oran,2018-01-21,S2,1745.6648746905937,1275.8969678217813,3241.2035504331675,972.4788701526402
TzM,2018-01-21,S2,2461.9762740855695,1846.874975928589,3550.6704085909428,1082.1800371549282
Oran,2018-01-26,S2,2499.7030863242567,2003.9107492780513,2813.8449360561044,1790.121351588283
TzM,2018-01-26,S2,2232.232071047473,1507.1379546664546,2669.1295721519277,800.0208656645406
Oran,2018-01-29,S2,4750.60925897277,4623.660156249996,4616.574502372113,4472.714921101484
TzM,2018-01-29,S2,1730.2148245902197,1198.234053398883,1940.1031898866088,689.4283578200926
Oran,2018-01-31,S2,2090.121158209571,1446.2232879537949,3137.8382451526395,1043.5040867367982
TzM,2018-01-31,S2,,,,
Oran,2018-01-31,S2,2150.284189356434,1490.7493425123753,3225.742716068482,1082.4941470709568
TzM,2018-01-31,S2,5100.163934797628,4699.5943655909105,3079.5068249527085,4482.109992183869
Oran,2018-02-08,S2,1736.83760055693,1256.3591171617159,2982.6022199876234,922.4380543523097
TzM,2018-02-08,S2,,,,
Oran,2018-02-08,S2,1930.2830419760705,1372.7200907590754,3065.144673061054,1037.4010287747521
TzM,2018-02-08,S2,2136.3270653269738,1492.5456620487323,2498.2297828475607,899.7769005086143
Oran,2018-02-13,S2,1927.8896194306922,1375.8087097772277,2774.2370307343226,1066.2905579620463
TzM,2018-02-13,S2,,,,
Oran,2018-02-15,S2,2267.6779857673255,1622.6063711839931,3911.1791976072604,1173.188776299505
TzM,2018-02-15,S2,,,,
Oran,2018-02-15,S2,2201.485599731848,1572.901376856435,3868.005027846533,1174.447607260726
TzM,2018-02-15,S2,2648.7219497275682,1886.3090882316296,3713.562285481255,1117.1243613996521
Oran,2018-02-20,S2,1819.9817321575892,1385.2151531559398,3325.0111515057756,1019.6247937293729
TzM,2018-02-20,S2,,,,
Oran,2018-02-20,S2,1818.0290970503293,1361.1375954001646,3353.8727954826722,990.3321601691413
TzM,2018-02-20,S2,2634.9175398452617,1937.8786574383494,3774.762202788884,1113.80967727319
Oran,2018-03-07,S2,2068.6847926980186,1507.775126340759,3411.8972514438938,1165.2079207920788
TzM,2018-03-07,S2,,,,
Oran,2018-03-07,S2,2058.433645317655,1511.4784447194713,3392.1346560437282,1200.3350608498345
TzM,2018-03-07,S2,2551.822624859818,1699.3439323055304,2865.253463451103,1071.06966549236
Oran,2018-03-10,S2,1901.7389387376234,1387.7733343646858,3392.828008972771,1084.4887840346535
TzM,2018-03-10,S2,,,,
Oran,2018-03-12,S2,2033.7360767326713,1429.0211556311876,3539.5028877887767,1116.2698535478548
TzM,2018-03-12,S2,,,,
Oran,2018-03-22,S2,2058.1571653259075,1401.5150190800327,3408.7812886757415,1080.381175226898
TzM,2018-03-22,S2,,,,
Oran,2018-03-22,S2,2065.6770446575897,1413.4026273721115,3386.6637917698004,1102.7142893976893
TzM,2018-03-22,S2,3187.3269237304444,2098.1352586685384,3976.7486718245555,1335.1454026438896
Oran,2018-03-27,S2,2192.897522174092,1471.3072014232666,3575.5214908209555,1134.2207998143563
TzM,2018-03-27,S2,,,,
Oran,2018-03-27,S2,2199.081515573432,1477.8907023514853,3572.8653310643545,1144.5476227310223
TzM,2018-03-27,S2,3425.311132885512,2241.7182625539476,4226.265102685802,1385.404529956161
Oran,2018-03-27,S2,2115.9681440800314,1423.2926464521447,3534.5046281971945,1089.793187912541
TzM,2018-03-27,S2,,,,
Oran,2018-03-27,S2,2101.8846431518155,1403.250979785478,3560.6797777433994,1051.0478290016501
TzM,2018-03-27,S2,,,,
Oran,2018-04-14,S2,2314.0237469059393,1418.8364918523098,3418.5514000618796,1124.3854682343228
TzM,2018-04-14,S2,,,,
Oran,2018-04-14,S2,2316.113010519802,1417.8546307755773,3418.8859323432334,1135.1195080445539
TzM,2018-04-14,S2,3244.544942738362,1925.335606429615,3570.1120878125025,1210.8769922631654
Oran,2018-04-16,S2,3361.9485999381172,2609.592512376237,3371.1500747731,2548.210228444718
TzM,2018-04-16,S2,,,,
Oran,2018-04-19,S2,2529.908003300329,1446.4686597566001,3562.781327351484,1242.0185127887785
TzM,2018-04-19,S2,,,,
Oran,2018-04-19,S2,2535.744172854784,1441.8575959158409,3547.243798989273,1220.7966429455446
TzM,2018-04-19,S2,3395.3427372308247,1895.4801028557183,3665.6432220573406,1212.3328084821978
Oran,2018-04-26,S2,3807.1658931518155,2063.251198948019,4081.2522947607254,1984.8637066831677
TzM,2018-04-26,S2,,,,
Oran,2018-04-26,S2,3743.2218053836614,2006.916447504126,4018.312809405938,1904.4461246905937
TzM,2018-04-26,S2,3667.4815244848733,2041.0881296797643,3935.2626389061957,1344.981263947258
Oran,2018-05-01,S2,2885.560682240098,1311.1857466996696,3391.2379460602306,1187.1125721947192
TzM,2018-05-01,S2,3843.7466838092837,2132.339746712127,4003.577759149968,1330.420150885261
Oran,2018-05-04,S2,2613.608201835806,1163.2435798267315,3027.2311520214503,1062.1230146452144
TzM,2018-05-04,S2,,,,
Oran,2018-05-04,S2,2611.0853702557743,1156.316909034653,3041.853109529701,1048.3132992986798
TzM,2018-05-04,S2,3519.2378481858646,1964.426290510766,3600.011843133702,1225.7464969018674
Oran,2018-05-09,S2,1155.6557858910892,421.9771684199669,1127.6737443275574,474.7276067450494
TzM,2018-05-09,S2,3294.166353266347,1844.8543368184962,3582.1443944766024,1150.842680592213
Oran,2018-05-11,S2,3333.3872731023093,1214.8464444100653,3213.477606745048,1281.566844575082
TzM,2018-05-11,S2,,,,
Oran,2018-05-14,S2,2969.239712252474,1091.451049401815,2846.6690129950475,1120.7748169348185
TzM,2018-05-14,S2,,,,
Oran,2018-05-14,S2,2964.5884256394384,1095.3194358498345,2839.8216403671604,1107.2648514851483
TzM,2018-05-14,S2,3505.4656543458827,1927.3736619127978,3675.9146512760667,1178.2140316496552
Oran,2018-05-16,S2,2994.9862443275574,1072.0888252887785,2954.326307240097,1055.4698329207918
TzM,2018-05-16,S2,,,,
Oran,2018-05-16,S2,2998.967022483497,1067.1778181724424,2957.1091687293715,1050.3521684199661
TzM,2018-05-16,S2,3744.837180983016,2048.8008359859077,3919.0478596268654,1249.8990869855793
Oran,2018-05-19,S2,7329.669954104781,7270.518396761549,4761.896929146036,7390.0975144389395
TzM,2018-05-19,S2,,,,
Oran,2018-05-19,S2,7319.079968543729,7287.266076216988,4777.290171204619,7468.0151995668275
TzM,2018-05-19,S2,3661.9975871951424,2087.099689620408,3714.0038004508433,1388.6954145379987
Oran,2018-05-21,S2,7018.677650577557,6573.249793729373,5387.81252578383,6679.811339727721
TzM,2018-05-21,S2,3880.8329840618935,2177.9388189716697,4107.3701219995655,1398.3998346152541
Oran,2018-06-13,S2,2831.991465552804,954.3739428630357,2406.255195441418,992.0219936056099
TzM,2018-06-13,S2,,,,
Oran,2018-06-13,S2,2840.308335911716,978.5409705033001,2428.883521555279,1005.004241439769
TzM,2018-06-13,S2,3521.595130212166,2139.3519013581918,3966.544716183918,1351.6791252732803
Oran,2018-06-15,S2,3030.8248504537946,1145.9070106229367,2807.6819306930674,1151.156894595709
TzM,2018-06-15,S2,,,,
Oran,2018-06-15,S2,2985.66914191419,1192.259849422442,2796.7427805280527,1180.9939150165012
TzM,2018-06-15,S2,3830.608808436887,2376.795489300966,4389.655807156858,1553.5835249606364
