date,site,ET_mm,n_obs,qflag_mean
2021-01-01,Oran,0.25270000000000004,48,1511.0
2021-01-01,TzM,0.3341,48,1540.375
2021-01-02,Oran,0.29095,48,1614.5
2021-01-02,TzM,0.38835000000000003,48,1658.5416666666667
2021-01-03,Oran,0.45,48,1879.75
2021-01-03,TzM,0.38870000000000005,48,1879.75
2021-01-04,Oran,0.22725,48,1555.375
2021-01-04,TzM,0.15995,48,1688.2916666666667
2021-01-05,Oran,0.5135000000000001,48,1894.6041666666667
2021-01-05,TzM,0.2559,48,1702.8333333333333
2021-01-06,Oran,0.2826,48,1540.6666666666667
2021-01-06,TzM,0.20045000000000002,48,1643.7916666666667
2021-01-07,Oran,0.0297,48,1436.9583333333333
2021-01-07,TzM,0.0437,48,1407.5416666666667
2021-01-08,Oran,0.060200000000000004,48,1452.0
2021-01-08,TzM,0.06225,48,1422.5
2021-01-09,Oran,0.067,47,1471.7916666666667
2021-01-09,TzM,0.04635,47,1339.0
2021-01-10,Oran,0.049100000000000005,48,1392.5
2021-01-10,TzM,0.0927,46,1431.7083333333333
2021-01-11,Oran,0.020450000000000003,36,1436.5
2021-01-11,TzM,0.01,36,1569.0
2021-01-12,Oran,,31,1549.2708333333333
2021-01-12,TzM,,31,1564.0208333333333
2021-01-13,Oran,,31,1549.2708333333333
2021-01-13,TzM,,31,1490.1875
2021-01-14,Oran,,32,1455.7708333333333
2021-01-14,TzM,0.02145,36,1510.3333333333333
2021-01-15,Oran,,33,1524.7708333333333
2021-01-15,TzM,,33,1524.8958333333333
2021-01-16,Oran,0.1646,42,1835.125
2021-01-16,TzM,,31,1505.0208333333333
2021-01-17,Oran,1.02455,38,1964.3157894736842
2021-01-17,TzM,,24,1528.4736842105262
2021-01-18,Oran,,34,1983.0
2021-01-18,TzM,,21,1530.6764705882354
2021-01-19,Oran,1.2656,48,1894.25
2021-01-19,TzM,,31,1445.7708333333333
2021-01-20,Oran,0.18485000000000001,48,1569.5
2021-01-20,TzM,0.15305,47,1560.0416666666667
2021-01-21,Oran,0.72675,48,1805.9583333333333
2021-01-21,TzM,0.37995,48,1746.875
2021-01-22,Oran,0.49420000000000003,48,1761.625
2021-01-22,TzM,0.5678000000000001,48,1761.7083333333333
2021-01-23,Oran,0.58115,48,1643.9375
2021-01-23,TzM,0.56735,48,1540.1041666666667
2021-01-24,Oran,1.0115500000000002,48,1761.6666666666667
2021-01-24,TzM,0.7051000000000001,48,1584.75
2021-01-25,Oran,0.6808500000000001,48,1776.5
2021-01-25,TzM,0.48460000000000003,48,1776.5
