date,site,GPP_mgpp,qflag
2018-01-01,Oran,0.95,2.0
2018-01-02,Oran,0.95,2.0
2018-01-03,Oran,0.95,2.0
2018-01-04,Oran,0.95,2.0
2018-01-05,Oran,0.95,2.0
2018-01-06,Oran,0.95,2.0
2018-01-07,Oran,0.95,2.0
2018-01-08,Oran,0.95,2.0
2018-01-09,Oran,0.95,2.0
2018-01-10,Oran,0.95,2.0
2018-01-11,Oran,,
2018-01-12,Oran,,
2018-01-13,Oran,,
2018-01-14,Oran,,
2018-01-15,Oran,,
2018-01-16,Oran,,
2018-01-17,Oran,,
2018-01-18,Oran,,
2018-01-19,Oran,,
2018-01-20,Oran,,
2018-01-21,Oran,,
2018-01-22,Oran,,
2018-01-23,Oran,,
2018-01-24,Oran,,
2018-01-25,Oran,,
2018-01-26,Oran,,
2018-01-27,Oran,,
2018-01-28,Oran,,
2018-01-29,Oran,,
2018-01-30,Oran,,
2018-01-31,Oran,,
2018-02-01,Oran,,
2018-02-02,Oran,,
2018-02-03,Oran,,
2018-02-04,Oran,,
2018-02-05,Oran,,
2018-02-06,Oran,,
2018-02-07,Oran,,
2018-02-08,Oran,,
2018-02-09,Oran,,
2018-02-10,Oran,,
2018-02-11,Oran,,
2018-02-12,Oran,,
2018-02-13,Oran,,
2018-02-14,Oran,,
2018-02-15,Oran,,
2018-02-16,Oran,,
2018-02-17,Oran,,
2018-02-18,Oran,,
2018-02-19,Oran,,
2018-02-20,Oran,,
2018-02-21,Oran,,
2018-02-22,Oran,,
2018-02-23,Oran,,
2018-02-24,Oran,,
2018-02-25,Oran,,
2018-02-26,Oran,,
2018-02-27,Oran,,
2018-02-28,Oran,,
2018-03-01,Oran,,
2018-03-02,Oran,,
2018-03-03,Oran,,
2018-03-04,Oran,,
2018-03-05,Oran,,
2018-03-06,Oran,,
2018-03-07,Oran,,
2018-03-08,Oran,,
2018-03-09,Oran,,
2018-03-10,Oran,,
2018-03-11,Oran,,
2018-03-12,Oran,,
2018-03-13,Oran,,
2018-03-14,Oran,,
2018-03-15,Oran,,
2018-03-16,Oran,,
2018-03-17,Oran,,
2018-03-18,Oran,,
2018-03-19,Oran,,
2018-03-20,Oran,,
2018-03-21,Oran,1.41,1.0
2018-03-22,Oran,1.41,1.0
2018-03-23,Oran,1.41,1.0
2018-03-24,Oran,1.41,1.0
2018-03-25,Oran,1.41,1.0
2018-03-26,Oran,1.41,1.0
2018-03-27,Oran,1.41,1.0
2018-03-28,Oran,1.41,1.0
2018-03-29,Oran,1.41,1.0
2018-03-30,Oran,1.41,1.0
2018-03-31,Oran,,
2018-04-01,Oran,1.44,1.0
2018-04-02,Oran,1.44,1.0
2018-04-03,Oran,1.44,1.0
2018-04-04,Oran,1.44,1.0
2018-04-05,Oran,1.44,1.0
2018-04-06,Oran,1.44,1.0
2018-04-07,Oran,1.44,1.0
2018-04-08,Oran,1.44,1.0
2018-04-09,Oran,1.44,1.0
2018-04-10,Oran,1.44,1.0
2018-04-11,Oran,1.79,2.0
2018-04-12,Oran,1.79,2.0
2018-04-13,Oran,1.79,2.0
2018-04-14,Oran,1.79,2.0
2018-04-15,Oran,1.79,2.0
2018-04-16,Oran,1.79,2.0
2018-04-17,Oran,1.79,2.0
2018-04-18,Oran,1.79,2.0
2018-04-19,Oran,1.79,2.0
2018-04-20,Oran,1.79,2.0
2018-04-21,Oran,2.05,2.0
2018-04-22,Oran,2.05,2.0
2018-04-23,Oran,2.05,2.0
2018-04-24,Oran,2.05,2.0
2018-04-25,Oran,2.05,2.0
2018-04-26,Oran,2.05,2.0
2018-04-27,Oran,2.05,2.0
2018-04-28,Oran,2.05,2.0
2018-04-29,Oran,2.05,2.0
2018-04-30,Oran,2.05,2.0
2018-05-01,Oran,2.62,
2018-05-02,Oran,2.62,
2018-05-03,Oran,2.62,
2018-05-04,Oran,2.62,
2018-05-05,Oran,2.62,
2018-05-06,Oran,2.62,
2018-05-07,Oran,2.62,
2018-05-08,Oran,2.62,
2018-05-09,Oran,2.62,
2018-05-10,Oran,2.62,
2018-05-11,Oran,2.74,3.0
2018-05-12,Oran,2.74,3.0
2018-05-13,Oran,2.74,3.0
2018-05-14,Oran,2.74,3.0
2018-05-15,Oran,2.74,3.0
2018-05-16,Oran,2.74,3.0
2018-05-17,Oran,2.74,3.0
2018-05-18,Oran,2.74,3.0
2018-05-19,Oran,2.74,3.0
2018-05-20,Oran,2.74,3.0
2018-05-21,Oran,1.56,
2018-05-22,Oran,1.56,
2018-05-23,Oran,1.56,
2018-05-24,Oran,1.56,
2018-05-25,Oran,1.56,
2018-05-26,Oran,1.56,
2018-05-27,Oran,1.56,
2018-05-28,Oran,1.56,
2018-05-29,Oran,1.56,
2018-05-30,Oran,1.56,
2018-05-31,Oran,,
2018-06-01,Oran,1.59,3.0
2018-06-02,Oran,1.59,3.0
2018-06-03,Oran,1.59,3.0
2018-06-04,Oran,1.59,3.0
2018-06-05,Oran,1.59,3.0
2018-06-06,Oran,1.59,3.0
2018-06-07,Oran,1.59,3.0
2018-06-08,Oran,1.59,3.0
2018-06-09,Oran,1.59,3.0
2018-06-10,Oran,1.59,3.0
2018-06-11,Oran,1.56,2.0
2018-06-12,Oran,1.56,2.0
2018-06-13,Oran,1.56,2.0
2018-06-14,Oran,1.56,2.0
2018-06-15,Oran,1.56,2.0
2018-06-16,Oran,1.56,2.0
2018-06-17,Oran,1.56,2.0
2018-06-18,Oran,1.56,2.0
2018-06-19,Oran,1.56,2.0
2018-06-20,Oran,1.56,2.0
2018-06-21,Oran,0.51,4.0
2018-06-22,Oran,0.51,4.0
2018-06-23,Oran,0.51,4.0
2018-06-24,Oran,0.51,4.0
2018-06-25,Oran,0.51,4.0
2018-06-26,Oran,0.51,4.0
2018-06-27,Oran,0.51,4.0
2018-06-28,Oran,0.51,4.0
2018-06-29,Oran,0.51,4.0
2018-06-30,Oran,0.51,4.0
2018-07-01,Oran,0.6900000000000001,2.0
2018-07-02,Oran,0.6900000000000001,2.0
2018-07-03,Oran,0.6900000000000001,2.0
2018-07-04,Oran,0.6900000000000001,2.0
2018-07-05,Oran,0.6900000000000001,2.0
2018-07-06,Oran,0.6900000000000001,2.0
2018-07-07,Oran,0.6900000000000001,2.0
2018-07-08,Oran,0.6900000000000001,2.0
2018-07-09,Oran,0.6900000000000001,2.0
2018-07-10,Oran,0.6900000000000001,2.0
2018-07-11,Oran,0.73,1.0
2018-07-12,Oran,0.73,1.0
2018-07-13,Oran,0.73,1.0
2018-07-14,Oran,0.73,1.0
2018-07-15,Oran,0.73,1.0
2018-07-16,Oran,0.73,1.0
2018-07-17,Oran,0.73,1.0
2018-07-18,Oran,0.73,1.0
2018-07-19,Oran,0.73,1.0
2018-07-20,Oran,0.73,1.0
2018-07-21,Oran,1.13,2.0
2018-07-22,Oran,1.13,2.0
2018-07-23,Oran,1.13,2.0
2018-07-24,Oran,1.13,2.0
2018-07-25,Oran,1.13,2.0
2018-07-26,Oran,1.13,2.0
2018-07-27,Oran,1.13,2.0
2018-07-28,Oran,1.13,2.0
2018-07-29,Oran,1.13,2.0
2018-07-30,Oran,1.13,2.0
2018-07-31,Oran,,
2018-08-01,Oran,1.17,2.0
2018-08-02,Oran,1.17,2.0
2018-08-03,Oran,1.17,2.0
2018-08-04,Oran,1.17,2.0
2018-08-05,Oran,1.17,2.0
2018-08-06,Oran,1.17,2.0
2018-08-07,Oran,1.17,2.0
2018-08-08,Oran,1.17,2.0
2018-08-09,Oran,1.17,2.0
2018-08-10,Oran,1.17,2.0
2018-08-11,Oran,1.3,
2018-08-12,Oran,1.3,
2018-08-13,Oran,1.3,
2018-08-14,Oran,1.3,
2018-08-15,Oran,1.3,
2018-08-16,Oran,1.3,
2018-08-17,Oran,1.3,
2018-08-18,Oran,1.3,
2018-08-19,Oran,1.3,
2018-08-20,Oran,1.3,
2018-08-21,Oran,1.31,1.0
2018-08-22,Oran,1.31,1.0
2018-08-23,Oran,1.31,1.0
2018-08-24,Oran,1.31,1.0
2018-08-25,Oran,1.31,1.0
2018-08-26,Oran,1.31,1.0
2018-08-27,Oran,1.31,1.0
2018-08-28,Oran,1.31,1.0
2018-08-29,Oran,1.31,1.0
2018-08-30,Oran,1.31,1.0
2018-08-31,Oran,,
2018-09-01,Oran,1.03,1.0
2018-09-02,Oran,1.03,1.0
2018-09-03,Oran,1.03,1.0
2018-09-04,Oran,1.03,1.0
2018-09-05,Oran,1.03,1.0
2018-09-06,Oran,1.03,1.0
2018-09-07,Oran,1.03,1.0
2018-09-08,Oran,1.03,1.0
2018-09-09,Oran,1.03,1.0
2018-09-10,Oran,1.03,1.0
2018-09-11,Oran,1.41,1.0
2018-09-12,Oran,1.41,1.0
2018-09-13,Oran,1.41,1.0
2018-09-14,Oran,1.41,1.0
2018-09-15,Oran,1.41,1.0
2018-09-16,Oran,1.41,1.0
2018-09-17,Oran,1.41,1.0
2018-09-18,Oran,1.41,1.0
2018-09-19,Oran,1.41,1.0
2018-09-20,Oran,1.41,1.0
2018-09-21,Oran,1.51,1.0
2018-09-22,Oran,1.51,1.0
2018-09-23,Oran,1.51,1.0
2018-09-24,Oran,1.51,1.0
2018-09-25,Oran,1.51,1.0
2018-09-26,Oran,1.51,1.0
2018-09-27,Oran,1.51,1.0
2018-09-28,Oran,1.51,1.0
2018-09-29,Oran,1.51,1.0
2018-09-30,Oran,1.51,1.0
2018-10-01,Oran,1.28,1.0
2018-10-02,Oran,1.28,1.0
2018-10-03,Oran,1.28,1.0
2018-10-04,Oran,1.28,1.0
2018-10-05,Oran,1.28,1.0
2018-10-06,Oran,1.28,1.0
2018-10-07,Oran,1.28,1.0
2018-10-08,Oran,1.28,1.0
2018-10-09,Oran,1.28,1.0
2018-10-10,Oran,1.28,1.0
2018-10-11,Oran,0.92,1.0
2018-10-12,Oran,0.92,1.0
2018-10-13,Oran,0.92,1.0
2018-10-14,Oran,0.92,1.0
2018-10-15,Oran,0.92,1.0
2018-10-16,Oran,0.92,1.0
2018-10-17,Oran,0.92,1.0
2018-10-18,Oran,0.92,1.0
2018-10-19,Oran,0.92,1.0
2018-10-20,Oran,0.92,1.0
2018-10-21,Oran,1.03,
2018-10-22,Oran,1.03,
2018-10-23,Oran,1.03,
2018-10-24,Oran,1.03,
2018-10-25,Oran,1.03,
2018-10-26,Oran,1.03,
2018-10-27,Oran,1.03,
2018-10-28,Oran,1.03,
2018-10-29,Oran,1.03,
2018-10-30,Oran,1.03,
2018-10-31,Oran,,
2018-11-01,Oran,0.85,1.0
2018-11-02,Oran,0.85,1.0
2018-11-03,Oran,0.85,1.0
2018-11-04,Oran,0.85,1.0
2018-11-05,Oran,0.85,1.0
2018-11-06,Oran,0.85,1.0
2018-11-07,Oran,0.85,1.0
