date,site,GPP_mgpp,qflag
2021-01-01,Oran,0.45,
2021-01-01,TzM,0.26,
2021-01-11,Oran,0.49,
2021-01-11,TzM,,-10.0
2021-01-21,Oran,0.7000000000000001,
2021-01-21,TzM,0.46,
2021-02-01,Oran,0.89,
2021-02-01,TzM,0.64,3.0
2021-02-11,Oran,1.17,
2021-02-11,TzM,1.0,1.0
2021-02-21,Oran,0.88,
2021-02-21,TzM,0.6900000000000001,
2021-03-01,Oran,0.9500000000000001,2.0
2021-03-01,TzM,0.86,3.0
2021-03-11,Oran,2.35,
2021-03-11,TzM,2.08,
2021-03-21,Oran,2.97,
2021-03-21,TzM,2.56,
2021-04-01,Oran,3.0,
2021-04-01,TzM,2.68,
2021-04-11,Oran,3.64,
2021-04-11,TzM,3.17,
2021-04-21,Oran,2.2600000000000002,2.0
2021-04-21,TzM,2.16,2.0
2021-05-01,Oran,4.05,2.0
2021-05-01,TzM,3.46,
2021-05-11,Oran,3.87,
2021-05-11,TzM,2.91,
2021-05-21,Oran,2.42,
2021-05-21,TzM,1.81,
2021-06-01,Oran,2.0300000000000002,
2021-06-01,TzM,1.06,
2021-06-11,Oran,1.53,
2021-06-11,TzM,1.11,
2021-06-21,Oran,2.73,
2021-06-21,TzM,2.96,
2021-07-01,Oran,2.5300000000000002,
2021-07-01,TzM,3.38,
2021-07-11,Oran,2.38,
2021-07-11,TzM,3.25,
2021-07-21,Oran,2.05,
2021-07-21,TzM,2.86,
2021-08-01,Oran,1.8900000000000001,
2021-08-01,TzM,2.6,
2021-08-11,Oran,1.53,
2021-08-11,TzM,1.7,
2021-08-21,Oran,1.77,
2021-08-21,TzM,1.6400000000000001,
2021-09-01,Oran,1.93,
2021-09-01,TzM,1.45,
2021-09-11,Oran,1.73,
2021-09-11,TzM,1.43,
2021-09-21,Oran,1.62,
2021-09-21,TzM,1.7,
2021-10-01,Oran,1.6500000000000001,
2021-10-01,TzM,1.45,
2021-10-11,Oran,1.48,
2021-10-11,TzM,1.08,
2021-10-21,Oran,0.92,
2021-10-21,TzM,0.74,
2021-11-01,Oran,1.12,
2021-11-01,TzM,0.88,
2021-11-11,Oran,0.85,
2021-11-11,TzM,0.65,
2021-11-21,Oran,0.76,
2021-11-21,TzM,0.49,
2021-12-01,Oran,0.79,
2021-12-01,TzM,0.5,
2021-12-11,Oran,0.71,1.0
2021-12-11,TzM,0.44,1.0
2021-12-21,Oran,0.6,
2021-12-21,TzM,0.36,1.0
