date,site,GPP_mgpp,qflag
2018-01-01,Oran,0.95,2.0
2018-03-21,Oran,1.41,1.0
2018-04-01,Oran,1.44,1.0
2018-04-11,Oran,1.79,2.0
2018-04-21,Oran,2.05,2.0
2018-05-01,Oran,2.62,
2018-05-11,Oran,2.74,3.0
2018-05-21,Oran,1.56,
2018-06-01,Oran,1.59,3.0
2018-06-11,Oran,1.56,2.0
2018-06-21,Oran,0.51,4.0
2018-07-01,Oran,0.6900000000000001,2.0
2018-07-11,Oran,0.73,1.0
2018-07-21,Oran,1.13,2.0
2018-08-01,Oran,1.17,2.0
2018-08-11,Oran,1.3,
2018-08-21,Oran,1.31,1.0
2018-09-01,Oran,1.03,1.0
2018-09-11,Oran,1.41,1.0
2018-09-21,Oran,1.51,1.0
2018-10-01,Oran,1.28,1.0
2018-10-11,Oran,0.92,1.0
2018-10-21,Oran,1.03,
2018-11-01,Oran,0.85,1.0
2018-11-11,Oran,0.68,5.0
2018-11-21,Oran,0.92,7.0
2018-12-01,Oran,0.85,1.0
2018-12-11,Oran,0.6900000000000001,1.0
2018-12-21,Oran,0.76,
2019-01-01,Oran,0.95,2.0
2019-01-11,Oran,0.71,3.0
2019-01-21,Oran,0.8200000000000001,2.0
2019-02-01,Oran,1.06,2.0
2019-02-11,Oran,1.0,2.0
2019-02-21,Oran,1.22,1.0
2019-03-01,Oran,1.15,1.0
2019-03-11,Oran,1.41,2.0
2019-03-21,Oran,1.69,
2019-04-01,Oran,1.44,
2019-04-11,Oran,1.75,
2019-04-21,Oran,1.93,
2019-05-01,Oran,2.6,
2019-05-11,Oran,2.84,
2019-05-21,Oran,1.84,
2019-06-11,Oran,0.78,
2019-06-21,Oran,0.76,
2019-07-01,Oran,0.94,
2019-07-11,Oran,1.12,
2019-07-21,Oran,1.44,
2019-08-01,Oran,1.65,
2019-08-11,Oran,1.56,
2019-08-21,Oran,1.51,
2019-09-01,Oran,1.5,
2019-09-11,Oran,1.06,
2019-09-21,Oran,1.8,
2019-10-01,Oran,1.71,
2019-10-11,Oran,1.26,
2019-10-21,Oran,1.09,
2019-11-01,Oran,1.1,
2019-11-11,Oran,1.08,
2019-11-21,Oran,0.81,
2019-12-01,Oran,0.67,
2019-12-11,Oran,0.59,
2019-12-21,Oran,1.01,
2020-01-01,Oran,1.01,
2020-01-11,Oran,0.79,
2020-01-21,Oran,0.67,
2020-02-01,Oran,1.19,
2020-02-11,Oran,1.4,
2020-02-21,Oran,2.14,
2020-03-01,Oran,1.94,
2020-03-11,Oran,1.91,
2020-03-21,Oran,1.7,
2020-04-01,Oran,3.04,
2020-04-11,Oran,2.63,4.0
2020-04-21,Oran,2.9,7.0
2020-05-01,Oran,2.71,
2020-05-11,Oran,1.89,
2020-05-21,Oran,2.17,
2020-06-01,Oran,1.43,
2020-06-11,Oran,1.41,
2020-06-21,Oran,1.45,
2020-07-01,Oran,1.66,
2020-07-11,Oran,1.59,
2020-07-21,Oran,1.32,
2020-08-01,Oran,1.27,
2020-08-11,Oran,1.51,
2020-08-21,Oran,1.47,
2020-09-01,Oran,1.42,
2020-09-11,Oran,1.19,
2020-09-21,Oran,1.22,
2020-10-01,Oran,1.22,
2020-10-11,Oran,1.13,
2020-10-21,Oran,0.84,
2020-11-01,Oran,0.66,
2020-11-11,Oran,0.75,
2020-11-21,Oran,0.65,
2020-12-01,Oran,0.7000000000000001,
2020-12-11,Oran,0.67,
2020-12-21,Oran,0.72,
2021-01-01,Oran,0.45,
2021-01-11,Oran,0.49,
2021-01-21,Oran,0.7000000000000001,
2021-02-01,Oran,0.89,
2021-02-11,Oran,1.17,
2021-02-21,Oran,0.88,
2021-03-01,Oran,0.95,2.0
2021-03-11,Oran,2.35,
2021-03-21,Oran,2.97,
2021-04-01,Oran,3.0,
2021-04-11,Oran,3.64,
2021-04-21,Oran,2.26,2.0
2021-05-01,Oran,4.05,2.0
2021-05-11,Oran,3.87,
2021-05-21,Oran,2.42,
2021-06-01,Oran,2.03,
2021-06-11,Oran,1.53,
2021-06-21,Oran,2.73,
2021-07-01,Oran,2.53,
2021-07-11,Oran,2.38,
2021-07-21,Oran,2.05,
2021-08-01,Oran,1.89,
2021-08-11,Oran,1.53,
2021-08-21,Oran,1.77,
2021-09-01,Oran,1.93,
2021-09-11,Oran,1.73,
2021-09-21,Oran,1.62,
2021-10-01,Oran,1.65,
2021-10-11,Oran,1.48,
2021-10-21,Oran,0.92,
2021-11-01,Oran,1.12,
2021-11-11,Oran,0.85,
2021-11-21,Oran,0.76,
2021-12-01,Oran,0.79,
2021-12-11,Oran,0.71,1.0
2021-12-21,Oran,0.6,
2022-01-01,Oran,0.84,
2022-01-11,Oran,1.05,
2022-01-21,Oran,0.86,
2022-02-01,Oran,1.03,
2022-02-11,Oran,1.07,
2022-02-21,Oran,1.09,
2022-03-01,Oran,1.03,
2022-03-11,Oran,0.89,4.0
2022-03-21,Oran,,-10.0
2022-04-01,Oran,2.8000000000000003,1.0
2022-04-11,Oran,2.87,
2022-04-21,Oran,3.97,
2022-05-01,Oran,4.5200000000000005,
2022-05-11,Oran,5.16,
2022-05-21,Oran,4.34,
2022-06-01,Oran,2.23,
2022-06-11,Oran,0.89,
2022-06-21,Oran,1.81,
2022-07-01,Oran,1.31,
2022-07-11,Oran,1.73,
2022-07-21,Oran,1.57,
2022-08-01,Oran,1.82,
2022-08-11,Oran,1.62,
2022-08-21,Oran,1.34,
2022-09-01,Oran,1.56,
2022-09-11,Oran,1.19,
2022-09-21,Oran,1.4,
2022-10-01,Oran,1.28,
2022-10-11,Oran,1.36,
2022-10-21,Oran,1.11,
2022-11-01,Oran,1.29,
2022-11-11,Oran,0.91,
2022-11-21,Oran,1.07,
2022-12-01,Oran,0.59,
2022-12-11,Oran,,-10.0
2022-12-21,Oran,1.19,2.0
2023-01-01,Oran,0.98,
2023-01-11,Oran,1.12,
2023-01-21,Oran,1.24,
2023-02-01,Oran,1.0,
2023-02-11,Oran,0.86,
2023-02-21,Oran,1.27,
2023-03-01,Oran,1.39,
2023-03-11,Oran,2.16,
2023-03-21,Oran,2.4,
2023-04-01,Oran,2.66,
2023-04-11,Oran,2.6,
2023-04-21,Oran,2.23,
2023-05-01,Oran,2.24,
2023-05-11,Oran,1.46,
2023-05-21,Oran,0.62,4.0
2023-06-01,Oran,1.13,3.0
2023-06-11,Oran,1.86,
2023-06-21,Oran,2.5,
2023-07-01,Oran,3.16,
2023-07-11,Oran,2.99,
2023-07-21,Oran,2.73,
2023-08-01,Oran,2.4,
2023-08-11,Oran,2.24,
2023-08-21,Oran,1.95,
2023-09-01,Oran,1.61,
2023-09-11,Oran,1.76,
2023-09-21,Oran,2.03,
2023-10-01,Oran,1.53,
2023-10-11,Oran,0.96,
2023-10-21,Oran,0.8,
2023-11-01,Oran,0.91,
2023-11-11,Oran,0.94,
2023-11-21,Oran,0.78,
2023-12-01,Oran,0.5700000000000001,
2023-12-11,Oran,0.74,
2023-12-21,Oran,0.76,
2024-01-01,Oran,0.64,
2024-01-11,Oran,0.55,1.0
2024-01-21,Oran,0.99,1.0
2024-02-01,Oran,0.94,
2024-02-11,Oran,1.17,
2024-02-21,Oran,1.29,
2024-03-01,Oran,1.47,
2024-03-11,Oran,2.03,
2024-03-21,Oran,1.48,2.0
