date,name,source,variable,value
2018-01-01,TzM,CHIRPS,precipitation,0.0
2018-01-02,TzM,CHIRPS,precipitation,0.0
2018-01-03,TzM,CHIRPS,precipitation,0.0
2018-01-04,TzM,CHIRPS,precipitation,0.0
2018-01-05,TzM,CHIRPS,precipitation,0.0
2018-01-06,TzM,CHIRPS,precipitation,16.177715301513672
2018-01-07,TzM,CHIRPS,precipitation,3.2355430126190186
2018-01-08,TzM,CHIRPS,precipitation,0.0
2018-01-09,TzM,CHIRPS,precipitation,0.0
2018-01-10,TzM,CHIRPS,precipitation,0.0
2018-01-11,TzM,CHIRPS,precipitation,0.0
2018-01-12,TzM,CHIRPS,precipitation,0.0
2018-01-13,TzM,CHIRPS,precipitation,5.294260501861572
2018-01-14,TzM,CHIRPS,precipitation,0.0
2018-01-15,TzM,CHIRPS,precipitation,0.0
2018-01-16,TzM,CHIRPS,precipitation,0.0
2018-01-17,TzM,CHIRPS,precipitation,0.0
2018-01-18,TzM,CHIRPS,precipitation,0.0
2018-01-19,TzM,CHIRPS,precipitation,5.024096012115479
2018-01-20,TzM,CHIRPS,precipitation,0.0
2018-01-21,TzM,CHIRPS,precipitation,0.0
2018-01-22,TzM,CHIRPS,precipitation,0.0
2018-01-23,TzM,CHIRPS,precipitation,0.0
2018-01-24,TzM,CHIRPS,precipitation,0.0
2018-01-25,TzM,CHIRPS,precipitation,0.0
2018-01-26,TzM,CHIRPS,precipitation,0.0
2018-01-27,TzM,CHIRPS,precipitation,0.0
2018-01-28,TzM,CHIRPS,precipitation,0.0
2018-01-29,TzM,CHIRPS,precipitation,0.0
2018-01-30,TzM,CHIRPS,precipitation,0.0
2018-01-31,TzM,CHIRPS,precipitation,0.0
2018-02-01,TzM,CHIRPS,precipitation,5.130765438079834
2018-02-02,TzM,CHIRPS,precipitation,0.0
2018-02-03,TzM,CHIRPS,precipitation,0.0
2018-02-04,TzM,CHIRPS,precipitation,10.261530876159668
2018-02-05,TzM,CHIRPS,precipitation,5.130765438079834
2018-02-06,TzM,CHIRPS,precipitation,0.0
2018-02-07,TzM,CHIRPS,precipitation,0.0
2018-02-08,TzM,CHIRPS,precipitation,0.0
2018-02-09,TzM,CHIRPS,precipitation,0.0
2018-02-10,TzM,CHIRPS,precipitation,0.0
2018-02-11,TzM,CHIRPS,precipitation,0.0
2018-02-12,TzM,CHIRPS,precipitation,0.0
2018-02-13,TzM,CHIRPS,precipitation,0.0
2018-02-14,TzM,CHIRPS,precipitation,0.0
2018-02-15,TzM,CHIRPS,precipitation,0.0
2018-02-16,TzM,CHIRPS,precipitation,0.0
2018-02-17,TzM,CHIRPS,precipitation,0.0
