stratum,var,n_total,n_dry,n_norm,swc_p25,swc_p75,SDS,CI95_lo,CI95_hi
Oran_winter,ET,33,8,17,18.2884,19.6767,-0.5525330912346904,-1.1873878747098565,-0.09272623353247106
Oran_spring,ET,202,51,100,13.985,24.882,0.43430884297898814,0.356275276539658,0.5040031784549708
Oran_summer,ET,34,9,16,13.4801,17.7323,-0.03454559136654067,-0.314827062839681,0.1955014984179063
TzM_summer_all,LE,393,95,198,0.1192,0.1628,0.11934829993510232,0.06121396199175389,0.17227698168820027
TzM_summer_all,ET,400,100,200,0.1192,0.1628,0.08303997602597951,0.0017163156419880755,0.16397302693642282
TzM_summer_all,EF,387,95,196,0.1192,0.1628,-0.047375513150936355,-0.11422820623663665,0.016230930292825532
TzM_summer_irrig_d0-3,LE,277,69,151,0.1192,0.1628,0.1473575177959049,0.09137134312393559,0.20339092023544503
TzM_summer_irrig_d0-3,ET,281,71,153,0.1192,0.1628,0.10837625775665749,0.02895374158178836,0.18491024761575592
TzM_summer_irrig_d0-3,EF,275,69,151,0.1192,0.1628,-0.020735665116178192,-0.09090691013446028,0.04569878392580988
TzM_summer_irrig_d4-7,LE,72,19,29,0.1192,0.1628,-0.0025172632075463053,-0.15435880184574885,0.13163975882817708
TzM_summer_irrig_d4-7,ET,75,22,29,0.1192,0.1628,-0.029791819723369528,-0.3118078543049616,0.22079749219429096
TzM_summer_irrig_d4-7,EF,70,19,27,0.1192,0.1628,-0.24425543763149782,-0.42909267551286584,-0.07469325098369911
TzM_summer_irrig_d8plus,LE,43,6,18,0.1192,0.1628,-0.1774250318862377,-0.3319648560554197,-0.028358053313216253
TzM_summer_irrig_d8plus,ET,43,6,18,0.1192,0.1628,-0.42797721378335707,-0.7267066574935421,-0.18163926887531873
TzM_summer_irrig_d8plus,EF,41,6,18,0.1192,0.1628,-0.16955270516462284,-0.43604528749523463,0.053219897090088154
TzM_spring,LE,45,11,23,0.1536,0.1815,0.15960568743013642,-0.004230488547532945,0.32072708996051524
TzM_spring,ET,45,11,23,0.1536,0.1815,0.2687677025506999,0.02491324326209828,0.5069889427681924
TzM_spring,EF,44,11,23,0.1536,0.1815,0.03377260220796219,-0.1556139626804397,0.19406453544652102
TzM_fall,LE,62,16,30,0.1361,0.1634,0.2895358121865803,0.17830507869695497,0.39025861950752194
TzM_fall,ET,62,16,30,0.1361,0.1634,0.2754477924604378,0.12909168763127163,0.4161649602805329
TzM_fall,EF,60,16,30,0.1361,0.1634,0.12893737798927007,0.005856883743702363,0.2448202229059682
