site,igbp,type,label
A3-base,?,?,(不明)
CN-HaM,?,?,(不明)
CN-In1,?,?,(不明)
CN-In2,?,?,(不明)
CN-In3,?,?,(不明)
CN-In4,?,?,(不明)
CN-In5,?,?,(不明)
CN-In6,?,?,(不明)
CN-In7,?,?,(不明)
CN-In8,?,?,(不明)
CN-Lsh,?,?,(不明)
ID-PaB,?,?,(不明)
ID-PaD,?,?,(不明)
ID-Pag,?,?,(不明)
JP-Ako,?,?,(不明)
JP-Api,?,?,(不明)
JP-BBY,?,?,(不明)
JP-Fhk,?,?,(不明)
JP-Fjy,?,?,(不明)
JP-Fmt,?,?,(不明)
JP-Hc1,?,?,(不明)
JP-Hc2,?,?,(不明)
JP-Hc3,?,?,(不明)
JP-Hrt,?,?,(不明)
JP-KaL,?,?,(不明)
JP-KaP,?,?,(不明)
JP-Kgu,?,?,(不明)
JP-Khw,?,?,(不明)
JP-Km1,?,?,(不明)
JP-Km2,?,?,(不明)
JP-Kwg,?,?,(不明)
JP-Kzw,?,?,(不明)
JP-MBF,?,?,(不明)
JP-MMF,?,?,(不明)
JP-Mra,?,?,(不明)
JP-Mse,?,?,(不明)
JP-Nap,?,?,(不明)
JP-Nkm,?,?,(不明)
JP-NsC,?,?,(不明)
JP-NsM,?,?,(不明)
JP-Nsb,?,?,(不明)
JP-Nuf,?,?,(不明)
JP-Om1,?,?,(不明)
JP-Om2,?,?,(不明)
JP-Ozm,?,?,(不明)
JP-SMF,?,?,(不明)
JP-Sac,?,?,(不明)
JP-Sb1,?,?,(不明)
JP-Sb2,?,?,(不明)
JP-Shn,?,?,(不明)
JP-Spp,?,?,(不明)
JP-Srk,?,?,(不明)
JP-SwL,?,?,(不明)
JP-Ta2,?,?,(不明)
JP-Tak,?,?,(不明)
JP-Tdf,?,?,(不明)
JP-Tef,?,?,(不明)
JP-Tgf,?,?,(不明)
JP-Tkb,?,?,(不明)
JP-Tmd,?,?,(不明)
JP-Tmk,?,?,(不明)
JP-Toc,?,?,(不明)
JP-Tom,?,?,(不明)
JP-Yms,?,?,(不明)
JP-Ynf,?,?,(不明)
JP-Yrp,?,?,(不明)
KH-Kmp,?,?,(不明)
MN-Hst,?,?,(不明)
MN-Kbu,?,?,(不明)
MN-Nkh,?,?,(不明)
MN-Skt,?,?,(不明)
MN-Udg,?,?,(不明)
MY-LHP,?,?,(不明)
RU-Ege,?,?,(不明)
RU-NeB,?,?,(不明)
RU-NeC,?,?,(不明)
RU-NeF,?,?,(不明)
RU-Sk2,?,?,(不明)
RU-SkP,?,?,(不明)
RU-Tur,?,?,(不明)
TH-Kms,?,?,(不明)
TH-Kog,?,?,(不明)
TH-Mae,?,?,(不明)
