date,site,ET_mm_per_day,LE_Wm2
2021-01-01,Oran,0.525,14.889000000000001
2021-01-02,Oran,0.525,14.889000000000001
2021-01-03,Oran,0.525,14.889000000000001
2021-01-04,Oran,0.525,14.889000000000001
2021-01-05,Oran,0.525,14.889000000000001
2021-01-06,Oran,0.525,14.889000000000001
2021-01-07,Oran,0.525,14.889000000000001
2021-01-08,Oran,0.525,14.889000000000001
2021-01-09,Oran,0.55,15.598
2021-01-10,Oran,0.55,15.598
2021-01-11,Oran,0.55,15.598
2021-01-12,Oran,0.55,15.598
2021-01-13,Oran,0.55,15.598
2021-01-14,Oran,0.55,15.598
2021-01-15,Oran,0.55,15.598
2021-01-16,Oran,0.55,15.598
2021-01-17,Oran,0.975,27.651
2021-01-18,Oran,0.975,27.651
2021-01-19,Oran,0.975,27.651
2021-01-20,Oran,0.975,27.651
2021-01-21,Oran,0.975,27.651
2021-01-22,Oran,0.975,27.651
2021-01-23,Oran,0.975,27.651
2021-01-24,Oran,0.975,27.651
2021-01-25,Oran,0.9125,25.8785
2021-01-26,Oran,0.9125,25.8785
2021-01-27,Oran,0.9125,25.8785
2021-01-28,Oran,0.9125,25.8785
2021-01-29,Oran,0.9125,25.8785
2021-01-30,Oran,0.9125,25.8785
2021-01-31,Oran,0.9125,25.8785
2021-02-01,Oran,0.9125,25.8785
2021-02-02,Oran,0.825,23.397
2021-02-03,Oran,0.825,23.397
2021-02-04,Oran,0.825,23.397
2021-02-05,Oran,0.825,23.397
2021-02-06,Oran,0.825,23.397
2021-02-07,Oran,0.825,23.397
2021-02-08,Oran,0.825,23.397
2021-02-09,Oran,0.825,23.397
2021-02-10,Oran,0.8375,23.7515
2021-02-11,Oran,0.8375,23.7515
2021-02-12,Oran,0.8375,23.7515
2021-02-13,Oran,0.8375,23.7515
2021-02-14,Oran,0.8375,23.7515
2021-02-15,Oran,0.8375,23.7515
2021-02-16,Oran,0.8375,23.7515
2021-02-17,Oran,0.8375,23.7515
2021-02-18,Oran,0.7375,20.9155
2021-02-19,Oran,0.7375,20.9155
2021-02-20,Oran,0.7375,20.9155
2021-02-21,Oran,0.7375,20.9155
2021-02-22,Oran,0.7375,20.9155
2021-02-23,Oran,0.7375,20.9155
2021-02-24,Oran,0.7375,20.9155
2021-02-25,Oran,0.7375,20.9155
2021-02-26,Oran,1.0125,28.714499999999997
2021-02-27,Oran,1.0125,28.714499999999997
2021-02-28,Oran,1.0125,28.714499999999997
2021-03-01,Oran,1.0125,28.714499999999997
2021-03-02,Oran,1.0125,28.714499999999997
2021-03-03,Oran,1.0125,28.714499999999997
2021-03-04,Oran,1.0125,28.714499999999997
2021-03-05,Oran,1.0125,28.714499999999997
2021-03-06,Oran,0.95,26.941999999999997
2021-03-07,Oran,0.95,26.941999999999997
2021-03-08,Oran,0.95,26.941999999999997
2021-03-09,Oran,0.95,26.941999999999997
2021-03-10,Oran,0.95,26.941999999999997
2021-03-11,Oran,0.95,26.941999999999997
2021-03-12,Oran,0.95,26.941999999999997
2021-03-13,Oran,0.95,26.941999999999997
2021-03-14,Oran,0.6375,18.0795
2021-03-15,Oran,0.6375,18.0795
2021-03-16,Oran,0.6375,18.0795
2021-03-17,Oran,0.6375,18.0795
2021-03-18,Oran,0.6375,18.0795
2021-03-19,Oran,0.6375,18.0795
2021-03-20,Oran,0.6375,18.0795
2021-03-21,Oran,0.6375,18.0795
2021-03-22,Oran,0.8875,25.1695
2021-03-23,Oran,0.8875,25.1695
2021-03-24,Oran,0.8875,25.1695
2021-03-25,Oran,0.8875,25.1695
2021-03-26,Oran,0.8875,25.1695
2021-03-27,Oran,0.8875,25.1695
2021-03-28,Oran,0.8875,25.1695
2021-03-29,Oran,0.8875,25.1695
2021-03-30,Oran,1.1125,31.5505
2021-03-31,Oran,1.1125,31.5505
2021-04-01,Oran,1.1125,31.5505
2021-04-02,Oran,1.1125,31.5505
2021-04-03,Oran,1.1125,31.5505
2021-04-04,Oran,1.1125,31.5505
2021-04-05,Oran,1.1125,31.5505
2021-04-06,Oran,1.1125,31.5505
2021-04-07,Oran,1.5375,43.603500000000004
2021-04-08,Oran,1.5375,43.603500000000004
2021-04-09,Oran,1.5375,43.603500000000004
2021-04-10,Oran,1.5375,43.603500000000004
2021-04-11,Oran,1.5375,43.603500000000004
2021-04-12,Oran,1.5375,43.603500000000004
2021-04-13,Oran,1.5375,43.603500000000004
2021-04-14,Oran,1.5375,43.603500000000004
2021-04-15,Oran,1.975,56.011
2021-04-16,Oran,1.975,56.011
2021-04-17,Oran,1.975,56.011
2021-04-18,Oran,1.975,56.011
2021-04-19,Oran,1.975,56.011
2021-04-20,Oran,1.975,56.011
2021-04-21,Oran,1.975,56.011
2021-04-22,Oran,1.975,56.011
2021-04-23,Oran,2.0875,59.201499999999996
2021-04-24,Oran,2.0875,59.201499999999996
2021-04-25,Oran,2.0875,59.201499999999996
2021-04-26,Oran,2.0875,59.201499999999996
2021-04-27,Oran,2.0875,59.201499999999996
2021-04-28,Oran,2.0875,59.201499999999996
2021-04-29,Oran,2.0875,59.201499999999996
2021-04-30,Oran,2.0875,59.201499999999996
2021-05-01,Oran,2.6875,76.2175
2021-05-02,Oran,2.6875,76.2175
2021-05-03,Oran,2.6875,76.2175
2021-05-04,Oran,2.6875,76.2175
2021-05-05,Oran,2.6875,76.2175
2021-05-06,Oran,2.6875,76.2175
2021-05-07,Oran,2.6875,76.2175
2021-05-08,Oran,2.6875,76.2175
2021-05-09,Oran,1.7125,48.5665
2021-05-10,Oran,1.7125,48.5665
2021-05-11,Oran,1.7125,48.5665
2021-05-12,Oran,1.7125,48.5665
2021-05-13,Oran,1.7125,48.5665
2021-05-14,Oran,1.7125,48.5665
2021-05-15,Oran,1.7125,48.5665
2021-05-16,Oran,1.7125,48.5665
2021-05-17,Oran,1.8375,52.1115
2021-05-18,Oran,1.8375,52.1115
2021-05-19,Oran,1.8375,52.1115
2021-05-20,Oran,1.8375,52.1115
2021-05-21,Oran,1.8375,52.1115
2021-05-22,Oran,1.8375,52.1115
2021-05-23,Oran,1.8375,52.1115
2021-05-24,Oran,1.8375,52.1115
2021-05-25,Oran,1.575,44.666999999999994
2021-05-26,Oran,1.575,44.666999999999994
2021-05-27,Oran,1.575,44.666999999999994
2021-05-28,Oran,1.575,44.666999999999994
2021-05-29,Oran,1.575,44.666999999999994
2021-05-30,Oran,1.575,44.666999999999994
2021-05-31,Oran,1.575,44.666999999999994
2021-06-01,Oran,1.575,44.666999999999994
2021-06-02,Oran,1.1,31.196
2021-06-03,Oran,1.1,31.196
2021-06-04,Oran,1.1,31.196
2021-06-05,Oran,1.1,31.196
2021-06-06,Oran,1.1,31.196
2021-06-07,Oran,1.1,31.196
2021-06-08,Oran,1.1,31.196
2021-06-09,Oran,1.1,31.196
2021-06-10,Oran,0.6875,19.4975
2021-06-11,Oran,0.6875,19.4975
2021-06-12,Oran,0.6875,19.4975
2021-06-13,Oran,0.6875,19.4975
2021-06-14,Oran,0.6875,19.4975
2021-06-15,Oran,0.6875,19.4975
2021-06-16,Oran,0.6875,19.4975
2021-06-17,Oran,0.6875,19.4975
2021-06-18,Oran,0.7375,20.9155
2021-06-19,Oran,0.7375,20.9155
2021-06-20,Oran,0.7375,20.9155
2021-06-21,Oran,0.7375,20.9155
2021-06-22,Oran,0.7375,20.9155
2021-06-23,Oran,0.7375,20.9155
2021-06-24,Oran,0.7375,20.9155
2021-06-25,Oran,0.7375,20.9155
2021-06-26,Oran,0.425,12.052999999999999
2021-06-27,Oran,0.425,12.052999999999999
2021-06-28,Oran,0.425,12.052999999999999
2021-06-29,Oran,0.425,12.052999999999999
2021-06-30,Oran,0.425,12.052999999999999
2021-07-01,Oran,0.425,12.052999999999999
2021-07-02,Oran,0.425,12.052999999999999
2021-07-03,Oran,0.425,12.052999999999999
2021-07-04,Oran,0.4125,11.6985
2021-07-05,Oran,0.4125,11.6985
2021-07-06,Oran,0.4125,11.6985
2021-07-07,Oran,0.4125,11.6985
2021-07-08,Oran,0.4125,11.6985
2021-07-09,Oran,0.4125,11.6985
2021-07-10,Oran,0.4125,11.6985
2021-07-11,Oran,0.4125,11.6985
2021-07-12,Oran,0.3375,9.5715
2021-07-13,Oran,0.3375,9.5715
2021-07-14,Oran,0.3375,9.5715
2021-07-15,Oran,0.3375,9.5715
2021-07-16,Oran,0.3375,9.5715
2021-07-17,Oran,0.3375,9.5715
2021-07-18,Oran,0.3375,9.5715
