date,site,ET_mm_per_day,LE_Wm2
2018-01-01,Oran,0.6385000000000001,18.107860000000002
2018-01-02,Oran,0.5298,15.025128
2018-01-03,Oran,0.29635,8.404486
2018-01-04,Oran,0.42255,11.983517999999998
2018-01-05,Oran,0.4982,14.128951999999998
2018-01-06,Oran,0.13075,3.70807
2018-01-07,Oran,0.5944,16.857184
2018-01-08,Oran,0.61145,17.340722
2018-01-09,Oran,0.43405,12.309657999999999
2018-01-10,Oran,0.3118,8.842648
2018-01-11,Oran,0.45355,12.862678
2018-01-12,Oran,0.61345,17.397442
2018-01-13,Oran,0.4477,12.696772
2018-01-14,Oran,0.37585,10.659106
2018-01-15,Oran,0.5688500000000001,16.132586000000003
2018-01-16,Oran,0.6516500000000001,18.480794000000003
2018-01-17,Oran,0.5866,16.635976
2018-01-18,Oran,0.5920000000000001,16.78912
2018-01-19,Oran,0.63565,18.027034
2018-01-20,Oran,0.64735,18.358846
2018-01-21,Oran,0.5937,16.837332
2018-01-22,Oran,0.5702,16.170872
2018-01-23,Oran,0.5377000000000001,15.249172000000002
2018-01-24,Oran,0.63195,17.922102
2018-01-25,Oran,0.46005,13.047018
2018-01-26,Oran,0.31175,8.841230000000001
2018-01-27,Oran,0.5766,16.352376
2018-01-28,Oran,0.2136,6.057696
2018-01-29,Oran,0.66815,18.948734
2018-01-30,Oran,0.7071500000000001,20.054774000000002
2018-01-31,Oran,0.79725,22.61001
2018-02-01,Oran,0.5637,15.986531999999999
2018-02-02,Oran,0.7269,20.614884
2018-02-03,Oran,0.97585,27.675106
2018-02-04,Oran,0.45785,12.984625999999999
2018-02-05,Oran,0.15325,4.34617
2018-02-06,Oran,0.22385,6.348386
2018-02-07,Oran,0.88895,25.210622
2018-02-08,Oran,0.8876000000000001,25.172336
2018-02-09,Oran,0.93075,26.396069999999998
2018-02-10,Oran,0.77415,21.954894
2018-02-11,Oran,1.13675,32.238229999999994
2018-02-12,Oran,0.4012,11.378032
2018-02-13,Oran,1.1811,33.495996
2018-02-14,Oran,0.8686,24.633496
2018-02-15,Oran,1.2219,34.653084
2018-02-16,Oran,1.1766,33.368376000000005
2018-02-17,Oran,1.0519,29.831884000000002
2018-02-18,Oran,0.6917,19.616612
2018-02-19,Oran,1.3646,38.700056000000004
2018-02-20,Oran,1.12115,31.795814000000004
2018-02-21,Oran,1.04695,29.691502
2018-02-22,Oran,1.03235,29.277446
2018-02-23,Oran,1.15025,32.62109
2018-02-24,Oran,1.0822,30.691192
2018-02-25,Oran,1.1584,32.852224
2018-02-26,Oran,1.3438,38.110168
2018-02-27,Oran,0.10295,2.9196619999999998
2018-02-28,Oran,0.6389,18.119204
2018-03-01,Oran,0.7104,20.146944
2018-03-02,Oran,0.36735,10.418046
2018-03-03,Oran,1.13405,32.161658
2018-03-04,Oran,0.88815,25.187934
2018-03-05,Oran,0.86445,24.515802
2018-03-06,Oran,1.02055,28.942798
2018-03-07,Oran,1.6605500000000002,47.093198
2018-03-08,Oran,0.99945,28.344402
2018-03-09,Oran,1.9231,54.539116
2018-03-10,Oran,1.2541,35.566276
2018-03-11,Oran,0.9872,27.996992
2018-03-12,Oran,1.5229,43.189443999999995
2018-03-13,Oran,1.55055,43.973598
2018-03-14,Oran,0.8679,24.613644
2018-03-15,Oran,1.0836,30.730895999999998
2018-03-16,Oran,1.22845,34.838842
2018-03-17,Oran,0.7262500000000001,20.59645
2018-03-18,Oran,1.128,31.990079999999995
2018-03-19,Oran,0.9328,26.454207999999998
2018-03-20,Oran,0.7999,22.685164
2018-03-21,Oran,1.7029,48.294244
2018-03-22,Oran,1.58675,45.00023
2018-03-23,Oran,1.32,37.4352
2018-03-24,Oran,0.84785,24.045026
2018-03-25,Oran,0.98605,27.964378
2018-03-26,Oran,1.3686,38.813496
2018-03-27,Oran,2.18105,61.854578
2018-03-28,Oran,2.26525,64.24249
2018-03-29,Oran,1.89395,53.712422
2018-03-30,Oran,0.6434000000000001,18.246824000000004
2018-03-31,Oran,1.3572,38.490192
2018-04-01,Oran,2.0464,58.035904
2018-04-02,Oran,1.5617500000000002,44.291230000000006
2018-04-03,Oran,1.7593,49.893748
2018-04-04,Oran,0.9277,26.309572
2018-04-05,Oran,1.95055,55.317598
2018-04-06,Oran,1.21955,34.586437999999994
2018-04-07,Oran,0.3957,11.222052
