target,variable,coef,pval,ci_low,ci_high
EC ET,VPD_kPa_mean,0.049511327075986836,0.6497197035037718,-0.16735667330941206,0.26637932746138576
EC ET,Rn_Wm2,0.5791353731034339,5.138378708138284e-05,0.3131129761965836,0.8451577700102841
EC ET,SWC,0.05379304386117222,0.7095528503390084,-0.23359005176924202,0.3411761394915865
EC ET,smap_surface,-0.43794571599823157,0.028403081960971893,-0.8280465059049433,-0.047844926091519746
EC ET,smap_rootzone,0.5594056044724978,0.0019063412782083992,0.21459015709508605,0.9042210518499094
Sat ET (ETv3),VPD_kPa_mean,0.10101991036847136,0.14355926138680658,-0.035292460125801894,0.2373322808627446
Sat ET (ETv3),Rn_Wm2,0.08000005299237017,0.34258541921346375,-0.08720831090870912,0.24720841689344947
Sat ET (ETv3),SWC,0.030157326564017654,0.7397075979345195,-0.1504773034217239,0.2107919565497592
Sat ET (ETv3),smap_surface,0.4186894624969219,0.0011357138435138371,0.17349163105395485,0.663887293939889
Sat ET (ETv3),smap_rootzone,0.5363097921347,6.081529534256495e-06,0.31957606041065867,0.7530435238587413
