days_since_irrig,median,count,site
0.0,208.69938812374784,133,Tarazona
1.0,198.33778251160533,101,Tarazona
2.0,179.86819683885344,82,Tarazona
3.0,170.5285267913359,58,Tarazona
4.0,146.76668341651086,41,Tarazona
5.0,130.26963167631928,32,Tarazona
6.0,121.07949454467716,25,Tarazona
7.0,129.11593073762654,14,Tarazona
8.0,119.62102956358329,13,Tarazona
9.0,91.55458740608103,11,Tarazona
10.0,114.80982984205926,11,Tarazona
11.0,137.17621209546252,8,Tarazona
12.0,126.28881023538881,8,Tarazona
13.0,89.15092258419111,6,Tarazona
