date,site,ET_mm_per_day,LE_Wm2,raw_value
2021-01-01,Oran,0.525,14.889000000000001,4.2
2021-01-09,Oran,0.55,15.598,4.4
2021-01-17,Oran,0.975,27.651,7.8
2021-01-25,Oran,0.9125,25.8785,7.3
2021-02-02,Oran,0.825,23.397,6.6
2021-02-10,Oran,0.8375,23.7515,6.7
2021-02-18,Oran,0.7375,20.9155,5.9
2021-02-26,Oran,1.0125,28.714499999999997,8.1
2021-03-06,Oran,0.95,26.941999999999997,7.6
2021-03-14,Oran,0.6375,18.0795,5.1
2021-03-22,Oran,0.8875,25.1695,7.1
2021-03-30,Oran,1.1125,31.5505,8.9
2021-04-07,Oran,1.5375,43.603500000000004,12.3
2021-04-15,Oran,1.975,56.011,15.8
2021-04-23,Oran,2.0875,59.201499999999996,16.7
2021-05-01,Oran,2.6875,76.2175,21.5
2021-05-09,Oran,1.7125,48.5665,13.7
2021-05-17,Oran,1.8375,52.1115,14.7
2021-05-25,Oran,1.575,44.666999999999994,12.6
2021-06-02,Oran,1.1,31.196,8.8
2021-06-10,Oran,0.6875,19.4975,5.5
2021-06-18,Oran,0.7375,20.9155,5.9
2021-06-26,Oran,0.425,12.052999999999999,3.4
2021-07-04,Oran,0.4125,11.6985,3.3
2021-07-12,Oran,0.3375,9.5715,2.7
2021-07-20,Oran,0.2625,7.444500000000001,2.1
2021-07-28,Oran,0.35,9.925999999999998,2.8
2021-08-05,Oran,0.275,7.799,2.2
2021-08-13,Oran,0.3125,8.8625,2.5
2021-08-21,Oran,0.425,12.052999999999999,3.4
2021-08-29,Oran,0.5125,14.534499999999998,4.1
2021-09-06,Oran,0.5,14.18,4.0
2021-09-14,Oran,0.725,20.561,5.8
2021-09-22,Oran,0.9375,26.5875,7.5
2021-09-30,Oran,0.6875,19.4975,5.5
2021-10-08,Oran,0.6875,19.4975,5.5
2021-10-16,Oran,0.6625,18.7885,5.3
2021-10-24,Oran,0.825,23.397,6.6
2021-11-01,Oran,0.575,16.307,4.6
2021-11-09,Oran,0.5625,15.9525,4.5
2021-11-17,Oran,0.7875,22.333499999999997,6.3
2021-11-25,Oran,0.825,23.397,6.6
2021-12-03,Oran,0.7125,20.206500000000002,5.7
2021-12-11,Oran,0.65,18.434,5.2
2021-12-19,Oran,0.7625,21.624499999999998,6.1
2021-12-27,Oran,0.3125,8.8625,2.5
2022-01-01,Oran,0.5125,14.534499999999998,4.1
2022-01-09,Oran,0.6875,19.4975,5.5
2022-01-17,Oran,0.6875,19.4975,5.5
2022-01-25,Oran,0.475,13.470999999999998,3.8
2022-02-02,Oran,0.6625,18.7885,5.3
2022-02-10,Oran,0.6625,18.7885,5.3
2022-02-18,Oran,0.5375,15.2435,4.3
2022-02-26,Oran,0.9625,27.2965,7.7
2022-03-06,Oran,1.0125,28.714499999999997,8.1
2022-03-14,Oran,1.0125,28.714499999999997,8.1
2022-03-22,Oran,1.375,38.995,11.0
2022-03-30,Oran,0.95,26.941999999999997,7.6
2022-04-07,Oran,1.5375,43.603500000000004,12.3
2022-04-15,Oran,1.2,34.032,9.6
2022-04-23,Oran,1.4625,41.476499999999994,11.7
2022-05-01,Oran,2.0875,59.201499999999996,16.7
2022-05-09,Oran,3.525,99.969,28.2
2022-05-17,Oran,2.4,68.064,19.2
2022-05-25,Oran,2.3875,67.7095,19.1
2022-06-02,Oran,0.8125,23.0425,6.5
2022-06-10,Oran,0.375,10.635,3.0
2022-06-18,Oran,0.1875,5.3175,1.5
2022-06-26,Oran,0.5,14.18,4.0
2022-07-04,Oran,0.2625,7.444500000000001,2.1
2022-07-12,Oran,0.1625,4.6085,1.3
2022-07-20,Oran,0.125,3.545,1.0
2022-07-28,Oran,0.35,9.925999999999998,2.8
2022-08-05,Oran,0.275,7.799,2.2
2022-08-13,Oran,0.225,6.381,1.8
2022-08-21,Oran,0.45,12.762,3.6
2022-08-29,Oran,0.1375,3.8995,1.1
2022-09-06,Oran,0.45,12.762,3.6
2022-09-14,Oran,1.1375,32.259499999999996,9.1
2022-09-22,Oran,0.5875,16.6615,4.7
2022-09-30,Oran,0.6375,18.0795,5.1
2022-10-08,Oran,0.65,18.434,5.2
2022-10-16,Oran,0.7375,20.9155,5.9
2022-10-24,Oran,0.525,14.889000000000001,4.2
2022-11-01,Oran,0.5375,15.2435,4.3
2022-11-09,Oran,0.6625,18.7885,5.3
2022-11-17,Oran,0.825,23.397,6.6
2022-11-25,Oran,0.6,17.016,4.8
2022-12-03,Oran,0.7625,21.624499999999998,6.1
2022-12-11,Oran,0.85,24.105999999999998,6.8
2022-12-19,Oran,0.6375,18.0795,5.1
2022-12-27,Oran,0.35,9.925999999999998,2.8
2023-01-01,Oran,0.7,19.851999999999997,5.6
2023-01-09,Oran,0.675,19.143,5.4
2023-01-17,Oran,0.6375,18.0795,5.1
2023-01-25,Oran,0.6625,18.7885,5.3
2023-02-02,Oran,0.7375,20.9155,5.9
2023-02-10,Oran,0.875,24.814999999999998,7.0
2023-02-18,Oran,0.65,18.434,5.2
2023-02-26,Oran,0.6125,17.3705,4.9
2023-03-06,Oran,0.8375,23.7515,6.7
2023-03-14,Oran,0.6875,19.4975,5.5
2023-03-22,Oran,0.6,17.016,4.8
2023-03-30,Oran,0.4625,13.1165,3.7
2023-04-07,Oran,0.475,13.470999999999998,3.8
2023-04-15,Oran,0.55,15.598,4.4
2023-04-23,Oran,0.5,14.18,4.0
2023-05-01,Oran,0.4125,11.6985,3.3
2023-05-09,Oran,1.925,54.593,15.4
2023-05-17,Oran,1.5375,43.603500000000004,12.3
2023-05-25,Oran,1.0875,30.841499999999996,8.7
2023-06-02,Oran,1.2875,36.5135,10.3
2023-06-10,Oran,0.75,21.27,6.0
2023-06-18,Oran,1.0375,29.4235,8.3
2023-06-26,Oran,0.7875,22.333499999999997,6.3
2023-07-04,Oran,0.6125,17.3705,4.9
2023-07-12,Oran,0.375,10.635,3.0
2023-07-20,Oran,0.35,9.925999999999998,2.8
2023-07-28,Oran,0.25,7.09,2.0
2023-08-05,Oran,0.325,9.217,2.6
2023-08-13,Oran,0.25,7.09,2.0
2023-08-21,Oran,0.2125,6.0264999999999995,1.7
2023-08-29,Oran,0.8375,23.7515,6.7
2023-09-06,Oran,0.65,18.434,5.2
2023-09-14,Oran,0.825,23.397,6.6
2023-09-22,Oran,0.45,12.762,3.6
2023-09-30,Oran,0.3125,8.8625,2.5
2023-10-08,Oran,0.475,13.470999999999998,3.8
2023-10-16,Oran,0.7875,22.333499999999997,6.3
2023-10-24,Oran,0.75,21.27,6.0
2023-11-01,Oran,0.75,21.27,6.0
2023-11-09,Oran,0.5875,16.6615,4.7
2023-11-17,Oran,0.55,15.598,4.4
2023-11-25,Oran,0.6875,19.4975,5.5
2023-12-03,Oran,0.8125,23.0425,6.5
2023-12-11,Oran,0.7,19.851999999999997,5.6
2023-12-19,Oran,0.6,17.016,4.8
2023-12-27,Oran,0.3875,10.9895,3.1
2024-01-01,Oran,0.6375,18.0795,5.1
2024-01-09,Oran,0.6875,19.4975,5.5
2024-01-17,Oran,0.7875,22.333499999999997,6.3
2024-01-25,Oran,0.475,13.470999999999998,3.8
2024-02-02,Oran,0.6,17.016,4.8
2024-02-10,Oran,0.725,20.561,5.8
2024-02-18,Oran,0.7,19.851999999999997,5.6
2024-02-26,Oran,0.725,20.561,5.8
2024-03-05,Oran,0.625,17.725,5.0
2024-03-13,Oran,0.6625,18.7885,5.3
2024-03-21,Oran,0.9125,25.8785,7.3
2024-03-29,Oran,0.7375,20.9155,5.9
2024-04-06,Oran,0.45,12.762,3.6
2024-04-14,Oran,0.8125,23.0425,6.5
2024-04-22,Oran,0.6,17.016,4.8
2024-04-30,Oran,1.8,51.048,14.4
2024-05-08,Oran,0.575,16.307,4.6
2024-05-16,Oran,0.5,14.18,4.0
2024-05-24,Oran,0.425,12.052999999999999,3.4
2024-06-01,Oran,0.5125,14.534499999999998,4.1
2024-06-09,Oran,0.475,13.470999999999998,3.8
2024-06-17,Oran,0.325,9.217,2.6
2024-06-25,Oran,0.4125,11.6985,3.3
2024-07-03,Oran,0.25,7.09,2.0
2024-07-11,Oran,0.4375,12.407499999999999,3.5
2024-07-19,Oran,0.4,11.344000000000001,3.2
2024-07-27,Oran,0.2875,8.1535,2.3
2024-08-04,Oran,0.2,5.672000000000001,1.6
2024-08-12,Oran,0.3875,10.9895,3.1
2024-08-20,Oran,0.5625,15.9525,4.5
2024-08-28,Oran,0.625,17.725,5.0
2024-09-05,Oran,0.4875,13.8255,3.9
2024-09-13,Oran,0.725,20.561,5.8
2024-09-21,Oran,0.6125,17.3705,4.9
2024-09-29,Oran,0.4625,13.1165,3.7
2024-10-07,Oran,0.6,17.016,4.8
2024-10-15,Oran,0.8,22.688000000000002,6.4
2024-10-23,Oran,0.75,21.27,6.0
2024-10-31,Oran,0.7875,22.333499999999997,6.3
2024-11-08,Oran,0.6625,18.7885,5.3
2024-11-16,Oran,0.75,21.27,6.0
2024-11-24,Oran,0.7,19.851999999999997,5.6
2024-12-02,Oran,0.7125,20.206500000000002,5.7
2024-12-10,Oran,0.7125,20.206500000000002,5.7
2024-12-18,Oran,0.6375,18.0795,5.1
2024-12-26,Oran,0.5625,15.9525,4.5
2021-01-01,Tarazona,0.6625,18.7885,5.3
2021-01-09,Tarazona,0.3375,9.5715,2.7
2021-01-17,Tarazona,0.775,21.979,6.2
2021-01-25,Tarazona,0.9125,25.8785,7.3
2021-02-02,Tarazona,0.875,24.814999999999998,7.0
2021-02-10,Tarazona,0.8,22.688000000000002,6.4
2021-02-18,Tarazona,0.7625,21.624499999999998,6.1
2021-02-26,Tarazona,1.0375,29.4235,8.3
2021-03-06,Tarazona,0.8625,24.4605,6.9
2021-03-14,Tarazona,0.5375,15.2435,4.3
2021-03-22,Tarazona,0.6,17.016,4.8
2021-03-30,Tarazona,0.75,21.27,6.0
2021-04-07,Tarazona,1.0875,30.841499999999996,8.7
2021-04-15,Tarazona,0.9625,27.2965,7.7
2021-04-23,Tarazona,1.5125,42.8945,12.1
2021-05-01,Tarazona,0.9875,28.0055,7.9
2021-05-09,Tarazona,1.1,31.196,8.8
2021-05-17,Tarazona,1.1375,32.259499999999996,9.1
2021-05-25,Tarazona,0.9,25.524,7.2
2021-06-02,Tarazona,0.825,23.397,6.6
2021-06-10,Tarazona,0.7875,22.333499999999997,6.3
2021-06-18,Tarazona,0.9125,25.8785,7.3
2021-06-26,Tarazona,0.6,17.016,4.8
2021-07-04,Tarazona,0.5875,16.6615,4.7
2021-07-12,Tarazona,0.55,15.598,4.4
2021-07-20,Tarazona,0.525,14.889000000000001,4.2
2021-07-28,Tarazona,0.6125,17.3705,4.9
2021-08-05,Tarazona,0.55,15.598,4.4
2021-08-13,Tarazona,0.475,13.470999999999998,3.8
2021-08-21,Tarazona,0.6875,19.4975,5.5
2021-08-29,Tarazona,1.05,29.778000000000002,8.4
2021-09-06,Tarazona,0.675,19.143,5.4
2021-09-14,Tarazona,0.8,22.688000000000002,6.4
2021-09-22,Tarazona,0.875,24.814999999999998,7.0
2021-09-30,Tarazona,0.6375,18.0795,5.1
2021-10-08,Tarazona,0.6,17.016,4.8
2021-10-16,Tarazona,0.65,18.434,5.2
2021-10-24,Tarazona,0.875,24.814999999999998,7.0
2021-11-01,Tarazona,0.55,15.598,4.4
2021-11-09,Tarazona,0.4625,13.1165,3.7
2021-11-17,Tarazona,0.825,23.397,6.6
2021-11-25,Tarazona,0.8,22.688000000000002,6.4
2021-12-03,Tarazona,0.8,22.688000000000002,6.4
2021-12-11,Tarazona,0.6375,18.0795,5.1
2021-12-19,Tarazona,0.8,22.688000000000002,6.4
2021-12-27,Tarazona,0.375,10.635,3.0
2022-01-01,Tarazona,0.6,17.016,4.8
2022-01-09,Tarazona,0.6375,18.0795,5.1
2022-01-17,Tarazona,0.6625,18.7885,5.3
2022-01-25,Tarazona,0.4375,12.407499999999999,3.5
2022-02-02,Tarazona,0.65,18.434,5.2
2022-02-10,Tarazona,0.7125,20.206500000000002,5.7
2022-02-18,Tarazona,0.55,15.598,4.4
2022-02-26,Tarazona,1.0,28.36,8.0
2022-03-06,Tarazona,0.9875,28.0055,7.9
2022-03-14,Tarazona,0.875,24.814999999999998,7.0
2022-03-22,Tarazona,1.2375,35.0955,9.9
2022-03-30,Tarazona,0.825,23.397,6.6
2022-04-07,Tarazona,1.075,30.487,8.6
2022-04-15,Tarazona,0.9375,26.5875,7.5
2022-04-23,Tarazona,1.175,33.323,9.4
