lag,r,n,site
-20,0.1379972640493661,887,Oran
-19,0.15316551240850143,888,Oran
-18,0.16674075890192577,889,Oran
-17,0.17982700675930482,890,Oran
-16,0.19484468850788456,891,Oran
-15,0.20535450385601742,892,Oran
-14,0.2192378596861993,893,Oran
-13,0.22771096316884162,894,Oran
-12,0.2423496039327537,895,Oran
-11,0.25601530319839066,896,Oran
-10,0.2684340501182082,897,Oran
-9,0.2785549904590422,898,Oran
-8,0.2894306928935059,899,Oran
-7,0.30725398851185753,900,Oran
-6,0.31822753784986707,901,Oran
-5,0.33089384987472437,902,Oran
-4,0.3437824660465715,903,Oran
-3,0.3545505265982033,904,Oran
-2,0.3668361942719551,905,Oran
-1,0.37528552458772546,906,Oran
0,0.38444777460819507,907,Oran
1,0.39436856853854174,906,Oran
2,0.40251355615557044,905,Oran
3,0.4091313073073774,904,Oran
4,0.4162625922555273,903,Oran
5,0.4187433404500023,902,Oran
6,0.4262255448552202,901,Oran
7,0.43090305804470924,900,Oran
8,0.4330667182670695,899,Oran
9,0.44106574120871855,898,Oran
10,0.44578685456725115,897,Oran
11,0.4498497935176762,896,Oran
12,0.45257393614544533,895,Oran
13,0.4570091348143613,894,Oran
14,0.4599913799490803,893,Oran
15,0.4615217161651268,892,Oran
16,0.4667971025705391,891,Oran
17,0.46618496793720315,890,Oran
18,0.46482278055323906,889,Oran
19,0.47261445213985953,888,Oran
20,0.4676812596242889,887,Oran
-20,-0.03961106208577641,663,Tarazona
-19,-0.0346088670367733,664,Tarazona
-18,-0.028092237696217263,665,Tarazona
-17,-0.013004540011164663,666,Tarazona
-16,0.0016016955558182475,667,Tarazona
-15,0.01956603396497832,668,Tarazona
-14,0.03251796073181864,669,Tarazona
-13,0.054448828660232325,670,Tarazona
-12,0.07624240631677393,671,Tarazona
-11,0.08639937862025078,672,Tarazona
-10,0.09145918079315853,673,Tarazona
-9,0.10829718367380547,674,Tarazona
-8,0.12766799851387486,675,Tarazona
-7,0.14294180762800934,676,Tarazona
-6,0.14763073062609208,677,Tarazona
-5,0.1536112913871768,678,Tarazona
-4,0.16798481952106117,679,Tarazona
-3,0.17364519909080184,680,Tarazona
-2,0.17937611415812107,681,Tarazona
-1,0.18651790901017787,682,Tarazona
0,0.1970813880688782,683,Tarazona
1,0.19118889098567438,682,Tarazona
2,0.2004003935833599,681,Tarazona
3,0.21207033206705703,680,Tarazona
4,0.21706232044108326,679,Tarazona
5,0.22244271066827898,678,Tarazona
6,0.22220392858753713,677,Tarazona
7,0.2304392576126072,676,Tarazona
8,0.2340157572196902,675,Tarazona
9,0.23930977750866378,674,Tarazona
10,0.24229175513377876,673,Tarazona
11,0.24872394207377813,672,Tarazona
12,0.24839759231941402,671,Tarazona
13,0.252571128214639,670,Tarazona
14,0.2580105039267155,669,Tarazona
15,0.250896415870966,668,Tarazona
16,0.26680731289349346,667,Tarazona
17,0.272459788319558,666,Tarazona
18,0.28133662543804017,665,Tarazona
19,0.2800926224357142,664,Tarazona
20,0.285979043266534,663,Tarazona
