year,sos_date,peak_date,eos_date,ndvi_peak,n_above,season_days,site
2018,2018-04-07,2018-05-25,2018-12-19,0.5875428571428567,9,256,Oran
2019,2019-01-01,2019-02-18,2019-12-19,0.5596857142857139,16,352,Oran
2020,2020-01-01,2020-04-22,2020-06-09,0.680908571428571,11,160,Oran
2021,2021-03-06,2021-05-09,2021-10-16,0.7167999999999997,11,224,Oran
2022,2022-01-01,2022-05-09,2022-12-19,0.6048485714285711,13,352,Oran
2023,2023-01-01,2023-01-01,2023-09-14,0.41513428571428573,12,256,Oran
2024,2024-10-31,2024-11-16,2024-12-02,0.37127142857142836,3,32,Oran
2018,2018-09-30,2018-12-19,2018-12-19,0.3675142857142854,6,80,Tarazona
2019,2019-04-23,2019-09-30,2019-12-19,0.3578542857142855,15,240,Tarazona
2020,2020-03-05,2020-04-06,2020-12-02,0.409585714285714,16,272,Tarazona
2021,2021-03-22,2021-04-23,2021-12-03,0.47947142857142827,17,256,Tarazona
2022,2022-03-06,2022-05-09,2022-12-03,0.5277199999999997,16,272,Tarazona
2023,2023-03-22,2023-06-10,2023-12-03,0.5651285714285711,17,256,Tarazona
2024,2024-03-05,2024-04-22,2024-12-18,0.48072285714285684,18,288,Tarazona
