i,sig_h,sig_le,delta_h,delta_le,p_h,p_le
0,1,1,-0.815275,0.828977,0.000500,0.000500
1,1,1,-0.842856,0.805831,0.000500,0.000500
2,1,1,-0.792997,0.825552,0.000500,0.000500
3,1,1,-0.800864,0.810946,0.000500,0.000500
4,1,1,-0.825594,0.872587,0.000500,0.000500
5,1,1,-0.788406,0.809901,0.000500,0.000500
6,1,1,-0.811813,0.838163,0.000500,0.000500
7,1,1,-0.839443,0.835133,0.000500,0.000500
8,1,1,-0.806870,0.775608,0.000500,0.000500
9,1,1,-0.876322,0.854570,0.000500,0.000500
10,1,1,-0.838939,0.853787,0.000500,0.000500
11,1,1,-0.819911,0.859321,0.000500,0.000500
12,1,1,-0.830186,0.824115,0.000500,0.000500
13,1,1,-0.843627,0.857044,0.000500,0.000500
14,1,1,-0.809896,0.805979,0.000500,0.000500
15,1,1,-0.810879,0.810922,0.000500,0.000500
16,1,1,-0.837102,0.785316,0.000500,0.000500
17,1,1,-0.836337,0.825492,0.000500,0.000500
18,1,1,-0.904627,0.938581,0.000500,0.000500
19,1,1,-0.864085,0.877878,0.000500,0.000500
20,1,1,-0.828747,0.807229,0.000500,0.000500
21,1,1,-0.817921,0.804216,0.000500,0.000500
22,1,1,-0.834447,0.850199,0.000500,0.000500
23,1,1,-0.828785,0.869917,0.000500,0.000500
24,1,1,-0.854173,0.817430,0.000500,0.000500
25,1,1,-0.848889,0.844735,0.000500,0.000500
26,1,1,-0.821164,0.834006,0.000500,0.000500
27,1,1,-0.861160,0.869665,0.000500,0.000500
28,1,1,-0.862343,0.854678,0.000500,0.000500
29,1,1,-0.874953,0.874851,0.000500,0.000500
30,1,1,-0.848153,0.887816,0.000500,0.000500
31,1,1,-0.777435,0.788096,0.000500,0.000500
32,1,1,-0.807624,0.790534,0.000500,0.000500
33,1,1,-0.875090,0.861102,0.000500,0.000500
34,1,1,-0.866463,0.844036,0.000500,0.000500
35,1,1,-0.849551,0.805322,0.000500,0.000500
36,1,1,-0.858591,0.837597,0.000500,0.000500
37,1,1,-0.909396,0.905103,0.000500,0.000500
38,1,1,-0.864728,0.853281,0.000500,0.000500
39,1,1,-0.747956,0.783092,0.000500,0.000500
40,1,1,-0.888031,0.839186,0.000500,0.000500
41,1,1,-0.799000,0.787154,0.000500,0.000500
42,1,1,-0.825599,0.844283,0.000500,0.000500
43,1,1,-0.858753,0.859209,0.000500,0.000500
44,1,1,-0.840478,0.855922,0.000500,0.000500
45,1,1,-0.828965,0.808149,0.000500,0.000500
46,1,1,-0.888836,0.895414,0.000500,0.000500
47,1,1,-0.813746,0.801202,0.000500,0.000500
48,1,1,-0.793541,0.826282,0.000500,0.000500
49,1,1,-0.863463,0.846645,0.000500,0.000500
50,1,1,-0.817436,0.815457,0.000500,0.000500
51,1,1,-0.875329,0.853690,0.000500,0.000500
52,1,1,-0.851473,0.844905,0.000500,0.000500
53,1,1,-0.781125,0.805648,0.000500,0.000500
54,1,1,-0.818320,0.821324,0.000500,0.000500
55,1,1,-0.856343,0.872814,0.000500,0.000500
56,1,1,-0.857338,0.825988,0.000500,0.000500
57,1,1,-0.827452,0.838546,0.000500,0.000500
58,1,1,-0.894334,0.893078,0.000500,0.000500
59,1,1,-0.865978,0.798276,0.000500,0.000500
60,1,1,-0.828983,0.836492,0.000500,0.000500
61,1,1,-0.864920,0.819415,0.000500,0.000500
62,1,1,-0.857049,0.866901,0.000500,0.000500
63,1,1,-0.820579,0.845673,0.000500,0.000500
64,1,1,-0.820866,0.848692,0.000500,0.000500
65,1,1,-0.893619,0.876888,0.000500,0.000500
66,1,1,-0.863264,0.859302,0.000500,0.000500
67,1,1,-0.749785,0.791630,0.000500,0.000500
68,1,1,-0.818817,0.805837,0.000500,0.000500
69,1,1,-0.831733,0.826734,0.000500,0.000500
70,1,1,-0.836054,0.836182,0.000500,0.000500
71,1,1,-0.779833,0.774038,0.000500,0.000500
72,1,1,-0.858651,0.820192,0.000500,0.000500
73,1,1,-0.869943,0.852065,0.000500,0.000500
74,1,1,-0.879350,0.832976,0.000500,0.000500
75,1,1,-0.874303,0.902996,0.000500,0.000500
76,1,1,-0.748595,0.814994,0.000500,0.000500
77,1,1,-0.816522,0.843529,0.000500,0.000500
78,1,1,-0.860574,0.884702,0.000500,0.000500
79,1,1,-0.878747,0.833562,0.000500,0.000500
80,1,1,-0.832965,0.840833,0.000500,0.000500
81,1,1,-0.778429,0.832815,0.000500,0.000500
82,1,1,-0.857283,0.859783,0.000500,0.000500
83,1,1,-0.835954,0.841724,0.000500,0.000500
84,1,1,-0.817873,0.849722,0.000500,0.000500
85,1,1,-0.885575,0.884219,0.000500,0.000500
86,1,1,-0.826843,0.837869,0.000500,0.000500
87,1,1,-0.795546,0.790159,0.000500,0.000500
88,1,1,-0.864287,0.871458,0.000500,0.000500
89,1,1,-0.826526,0.819769,0.000500,0.000500
90,1,1,-0.816766,0.804436,0.000500,0.000500
91,1,1,-0.811416,0.840973,0.000500,0.000500
92,1,1,-0.837780,0.805716,0.000500,0.000500
93,1,1,-0.874502,0.878130,0.000500,0.000500
94,1,1,-0.823254,0.804656,0.000500,0.000500
95,1,1,-0.854049,0.829995,0.000500,0.000500
96,1,1,-0.913172,0.906272,0.000500,0.000500
97,1,1,-0.816556,0.809746,0.000500,0.000500
98,1,1,-0.833576,0.847136,0.000500,0.000500
99,1,1,-0.817384,0.830463,0.000500,0.000500
