i,sig_h,sig_le,delta_h,delta_le,p_h,p_le
0,0,0,-0.003638,-0.030775,0.913543,0.379310
1,0,0,0.000886,-0.052887,0.976012,0.104448
2,0,0,0.021929,-0.005754,0.515742,0.862569
3,0,0,0.016346,-0.032604,0.624688,0.331834
4,0,0,-0.026419,0.054763,0.438281,0.103948
5,0,0,0.009348,-0.037834,0.769115,0.247876
6,0,0,0.021234,-0.052127,0.537231,0.116942
7,0,0,0.022303,-0.056423,0.492254,0.072964
8,0,0,0.015654,-0.056056,0.624688,0.102449
9,0,0,-0.011014,-0.022240,0.730635,0.503748
10,0,0,0.013360,-0.040998,0.674163,0.202399
11,0,0,-0.008780,0.012923,0.788106,0.699150
12,0,0,-0.007543,-0.000366,0.809095,0.989505
13,0,0,-0.046258,0.031179,0.152424,0.342329
14,0,0,-0.013469,-0.008544,0.706647,0.813593
15,0,0,0.040870,-0.053352,0.215392,0.109445
16,0,1,0.013286,-0.074012,0.681659,0.027486
17,0,0,-0.023482,-0.027531,0.469765,0.408296
18,1,1,-0.074107,0.091255,0.030485,0.008496
19,1,1,-0.072798,0.067594,0.022489,0.035482
20,0,1,0.046318,-0.080718,0.156922,0.015992
21,0,0,-0.001797,-0.047787,0.956022,0.159420
22,0,0,0.003908,-0.013095,0.914043,0.689155
23,0,0,-0.023973,0.020330,0.468266,0.555722
24,0,0,-0.062092,0.010522,0.058971,0.751624
25,0,0,-0.016800,0.000876,0.632184,0.976012
26,0,0,-0.032199,-0.017176,0.314343,0.588206
27,0,0,-0.026568,0.023960,0.410795,0.444278
28,0,0,-0.049482,-0.009068,0.143928,0.784608
29,0,0,-0.048164,0.033996,0.144428,0.295852
30,0,1,-0.057541,0.066174,0.081459,0.038981
31,0,0,0.027409,-0.032718,0.421289,0.329835
32,0,0,0.015560,-0.036258,0.646677,0.260870
33,0,0,-0.054861,0.022122,0.088956,0.512244
34,0,0,0.007510,-0.036618,0.817591,0.254373
35,0,0,-0.034509,-0.010631,0.316842,0.751624
36,0,0,-0.035563,-0.013000,0.295352,0.714643
37,0,0,-0.046917,0.014003,0.127936,0.662669
38,0,0,-0.059448,0.015976,0.077961,0.615692
39,0,0,0.049684,-0.036022,0.123438,0.251874
40,1,0,-0.067065,-0.013213,0.035982,0.674663
41,1,1,0.066625,-0.095733,0.047976,0.008496
42,0,0,0.018059,-0.039514,0.591704,0.229885
43,0,0,-0.033784,0.021921,0.312844,0.504248
44,0,0,-0.021695,0.028622,0.504748,0.362319
45,0,0,0.013448,-0.055866,0.716142,0.106447
46,0,0,-0.057535,0.060305,0.080460,0.075462
47,0,0,-0.013333,-0.045253,0.685157,0.178411
48,0,0,-0.004022,-0.019687,0.910545,0.547226
49,0,0,-0.001909,0.010727,0.957021,0.755122
50,0,0,-0.013061,-0.019038,0.673663,0.546727
51,0,0,-0.026860,-0.038935,0.426287,0.254873
52,0,1,0.022773,-0.076703,0.461269,0.019990
53,0,0,-0.014792,0.007944,0.659170,0.814093
54,0,0,-0.051989,0.041088,0.113443,0.211394
55,0,0,-0.043227,0.033825,0.195402,0.321339
56,0,0,0.026367,-0.061363,0.383808,0.050475
57,0,0,-0.010716,-0.001857,0.751124,0.959520
58,0,0,-0.046423,0.013343,0.162419,0.675662
59,0,0,-0.057326,-0.001145,0.075462,0.971514
60,0,0,-0.028890,0.033305,0.377811,0.328336
61,0,0,-0.033071,-0.034267,0.323338,0.301349
62,0,0,-0.022844,0.029533,0.475762,0.355322
63,0,0,-0.012330,-0.014954,0.719140,0.638681
64,0,0,-0.030135,0.041787,0.357821,0.215392
65,1,0,-0.096389,0.032670,0.003998,0.309345
66,1,0,-0.082634,0.047381,0.013993,0.149925
67,1,1,0.081120,-0.090452,0.014493,0.006497
68,0,0,0.013295,-0.063744,0.697651,0.052974
69,0,0,-0.052911,0.003869,0.119940,0.910545
70,0,0,0.009481,-0.044543,0.768116,0.176412
71,0,0,0.011125,-0.056912,0.749125,0.093953
72,0,1,0.064745,-0.114002,0.050975,0.001499
73,0,0,-0.049174,0.042203,0.144428,0.204398
74,0,0,-0.043115,-0.011132,0.220390,0.757621
75,0,0,-0.051974,0.061364,0.110945,0.063468
76,0,1,0.058815,-0.073155,0.060970,0.023488
77,0,0,-0.033417,-0.010923,0.293853,0.738131
78,0,0,-0.052013,0.028581,0.109445,0.358821
79,0,0,-0.028093,-0.048803,0.405797,0.140430
80,0,0,0.009514,-0.013429,0.792104,0.702149
81,0,0,0.022359,-0.007436,0.502749,0.830585
82,0,0,-0.018803,-0.009569,0.558221,0.762619
83,0,0,-0.039308,0.014422,0.256872,0.678661
84,0,0,0.032919,-0.024813,0.309845,0.460770
85,0,0,-0.003847,-0.014948,0.910045,0.659170
86,0,0,-0.022554,0.010979,0.485757,0.742129
87,0,0,0.013351,-0.033718,0.695152,0.307346
88,0,0,-0.027440,0.031584,0.418291,0.357821
89,0,0,0.006119,-0.048818,0.845077,0.139930
90,0,0,-0.001876,-0.012378,0.957521,0.702649
91,0,0,-0.008074,0.034301,0.812594,0.310845
92,0,0,-0.003147,-0.027361,0.930535,0.437281
93,0,0,-0.061331,0.033374,0.057471,0.305347
94,0,0,0.018889,-0.045941,0.559720,0.163418
95,0,0,-0.047669,0.005537,0.155922,0.859570
96,1,1,-0.118996,0.081025,0.001000,0.013993
97,0,0,0.012270,-0.053830,0.695652,0.093453
98,0,0,0.029508,-0.023707,0.384808,0.480260
99,0,0,0.020286,-0.003893,0.529235,0.914543
100,0,0,0.047819,-0.012653,0.168916,0.694653
101,0,1,0.039867,-0.074806,0.253873,0.029485
102,0,0,0.014147,-0.059886,0.668666,0.070965
103,0,1,0.047072,-0.103503,0.161919,0.003998
104,0,0,0.015800,-0.047523,0.626687,0.146427
105,0,0,0.034572,-0.017908,0.304848,0.593203
106,0,0,-0.019980,-0.037929,0.542729,0.281859
107,0,0,-0.062940,-0.008568,0.061469,0.777611
108,0,0,0.037747,-0.060728,0.268866,0.084958
109,0,0,0.000918,-0.046111,0.975012,0.140930
110,0,0,0.010751,-0.011107,0.752124,0.758121
111,0,0,-0.024208,-0.021956,0.464268,0.497751
112,0,1,-0.007273,-0.069492,0.825087,0.039980
113,0,0,0.031843,0.002525,0.332834,0.938031
114,0,0,0.007691,-0.021120,0.810095,0.517241
115,0,0,-0.061237,0.035039,0.060970,0.293353
116,0,0,-0.038804,-0.007159,0.243878,0.829585
117,0,0,-0.018685,-0.004812,0.562219,0.881059
118,0,0,-0.022728,-0.001215,0.504748,0.970015
119,0,0,-0.017416,0.022561,0.603198,0.499250
120,0,0,-0.055896,0.020028,0.078461,0.550225
121,0,0,0.029521,-0.060843,0.369315,0.059470
122,0,0,-0.020683,-0.008666,0.517741,0.793603
123,0,0,-0.022461,-0.035833,0.485757,0.277361
124,0,0,0.022334,-0.035113,0.500750,0.283358
125,0,0,-0.020981,0.009234,0.527736,0.773113
126,0,0,0.027786,-0.029606,0.398801,0.382809
127,0,0,0.010166,-0.057009,0.762119,0.093453
128,0,0,-0.037618,-0.024713,0.256872,0.463268
129,0,0,0.005022,-0.043283,0.892054,0.212894
130,0,0,-0.059306,0.059386,0.074963,0.070465
131,0,0,-0.057984,0.015481,0.088456,0.646177
132,0,0,-0.044965,0.026950,0.174413,0.422789
133,0,0,0.024043,-0.035475,0.439780,0.259870
134,1,0,-0.084849,0.042911,0.012494,0.200900
135,0,0,-0.030965,-0.038213,0.366317,0.263368
136,0,0,-0.004475,-0.047113,0.879060,0.154923
137,0,0,0.029825,-0.048678,0.367316,0.147926
138,1,1,-0.079087,0.068451,0.023988,0.040480
139,0,0,-0.011930,-0.025827,0.716642,0.452774
140,0,0,-0.007424,-0.006978,0.822589,0.841079
141,0,1,-0.003606,-0.086193,0.920540,0.009495
142,0,0,-0.016136,-0.000553,0.622689,0.984008
143,0,1,0.050315,-0.071217,0.122439,0.023488
144,0,0,0.006856,-0.041839,0.831084,0.214393
145,0,0,0.026005,-0.065436,0.437781,0.055972
146,0,0,-0.001463,0.014128,0.968016,0.662669
147,0,0,-0.020842,0.016875,0.536732,0.622689
148,1,0,-0.089070,0.034064,0.008996,0.312844
149,0,0,0.040000,-0.015729,0.241879,0.638681
150,0,0,0.013230,-0.028033,0.681159,0.395802
151,0,0,-0.014317,-0.012670,0.667666,0.695152
152,0,0,0.018404,-0.056905,0.579710,0.093453
153,0,0,-0.014907,0.018453,0.672664,0.603698
154,0,0,-0.050436,0.006981,0.146427,0.849075
155,0,0,-0.016488,-0.025399,0.617191,0.446277
156,0,0,-0.024466,-0.016880,0.472764,0.612194
157,0,0,-0.054987,-0.000024,0.093953,0.999500
158,0,0,-0.005606,-0.013214,0.867566,0.698651
159,0,0,-0.053969,-0.020092,0.102949,0.563218
160,1,0,-0.066862,0.039676,0.034983,0.233383
161,0,0,-0.031040,0.029130,0.332334,0.356322
162,0,0,-0.003648,-0.022495,0.916542,0.506747
163,0,0,0.004785,0.035102,0.889555,0.296852
164,0,0,-0.018653,-0.008787,0.559720,0.791104
165,0,0,0.008871,0.024106,0.776112,0.472264
166,0,0,-0.039026,0.038322,0.233383,0.232884
167,0,0,-0.000055,-0.036695,0.998501,0.255872
168,0,0,-0.018780,-0.015032,0.576712,0.663668
169,1,0,0.083972,-0.016335,0.014493,0.634683
170,0,1,0.013909,-0.064007,0.669165,0.042479
171,0,0,0.012031,-0.016281,0.717141,0.620190
172,0,1,0.060039,-0.069501,0.089455,0.047476
173,0,1,0.007059,-0.065921,0.829085,0.048476
174,0,0,0.018188,-0.058101,0.551224,0.076462
175,0,0,-0.022793,-0.016945,0.506247,0.620190
176,0,0,0.026959,-0.046097,0.428286,0.151924
177,0,0,0.019884,-0.057760,0.539230,0.074463
178,0,0,-0.061844,0.009435,0.072964,0.763118
179,0,0,0.004202,-0.035143,0.907546,0.277861
180,0,0,-0.052781,0.004969,0.114943,0.896052
181,0,1,0.035548,-0.066184,0.281359,0.046977
182,0,0,-0.035746,-0.007124,0.271364,0.825087
183,0,0,-0.052856,0.001771,0.116442,0.959020
184,0,0,-0.004085,-0.051706,0.890555,0.118941
185,0,0,-0.013885,-0.000926,0.657171,0.976512
186,0,0,-0.011445,-0.004056,0.709145,0.900050
187,0,0,0.000040,-0.062968,1.000000,0.062469
188,0,0,-0.022976,-0.032443,0.465767,0.330835
189,0,0,-0.006562,-0.006259,0.841079,0.828586
190,0,0,-0.002974,-0.059061,0.924038,0.077961
191,0,1,0.029991,-0.070147,0.366817,0.035482
192,0,0,-0.030660,0.026770,0.355322,0.415792
193,0,0,-0.020273,-0.026146,0.555722,0.431284
194,0,0,0.023676,-0.026723,0.467766,0.418291
195,0,0,0.021690,0.005026,0.509745,0.882059
196,0,0,0.001501,-0.011357,0.964518,0.748126
197,0,0,-0.045462,0.006930,0.151924,0.828586
198,0,0,0.003167,-0.018570,0.925537,0.588206
199,0,0,-0.005836,0.021530,0.852074,0.513743
