i,vshare_sp,vshare_au,delta_h,db_h,dw_h,s_h,delta_le,db_le,dw_le,s_le,csv_sig_h,csv_sig_le,csv_delta_h,csv_delta_le,csv_p_h,csv_p_le
0,0.30397944206627414,0.22991365082115364,-0.0036380956960321833,0.015532428898545997,-0.019170524594578183,0.44758233334875924,-0.030774990934024776,-0.01787704416616016,-0.012897946767864595,0.5808951887097177,0.0,0.0,-0.003638,-0.030775,0.913543,0.37931
1,0.27731637914542323,0.28073543379753,0.0008857514963979646,-0.0002383546384302302,0.0011241061348282256,0.17494422086015893,-0.05288656022389991,0.0019575374207076463,-0.05484409764460758,0.034462694928705975,0.0,0.0,0.000886,-0.052887,0.976012,0.104448
2,0.19217555677179884,0.16675149614740434,0.021929228068114315,0.0006603286768403528,0.02126889939127396,0.030111806707892673,-0.005754235433186865,0.0009259190863192806,-0.006680154519506199,0.1217341738068536,0.0,0.0,0.021929,-0.005754,0.515742,0.862569
3,0.20023573508218806,0.2541688327232302,0.016345963289723486,0.0064193394980176805,0.009926623791705821,0.39271711212354415,-0.03260391807862254,0.0033122723296773655,-0.03591619040829992,0.08443543535726514,0.0,0.0,0.016346,-0.032604,0.624688,0.331834
4,0.3208844682256442,0.28923360555883404,-0.026418785084701163,-0.020731640397441617,-0.005687144687259529,0.7847310287348188,0.05476332276354828,0.031833105960558,0.022930216802990316,0.5812851440370748,0.0,0.0,-0.026419,0.054763,0.438281,0.103948
5,0.22005555078436714,0.16650190932716835,0.009347898108277151,0.00478180529161609,0.004566092816661073,0.5115380202295965,-0.037833772857390924,-0.00904102876861768,-0.028792744088773217,0.2389671472283922,0.0,0.0,0.009348,-0.037834,0.769115,0.247876
6,0.260071770532435,0.12287323976453007,0.021233816183243725,0.015372731828047069,0.005861084355196659,0.7239740466519708,-0.052126657304078866,-0.012166497527027602,-0.03996015977705128,0.23340260350965533,0.0,0.0,0.021234,-0.052127,0.537231,0.116942
7,0.24907343486923758,0.23570660853454145,0.022302827601862675,0.0054348695712366805,0.016867958030626004,0.2436852254008712,-0.05642312017858374,-0.002189809281952563,-0.05423331089663122,0.03881049603463328,0.0,0.0,0.022303,-0.056423,0.492254,0.072964
8,0.26060933919458734,0.3206606849528273,0.01565433513761578,0.019664559675550943,-0.004010224537935151,0.8306119919922748,-0.05605603246071346,-0.018553697363836323,-0.03750233509687718,0.3309848476493508,0.0,0.0,0.015654,-0.056056,0.624688,0.102449
9,0.32913413794805874,0.3596903944854061,-0.01101408084576457,-0.027531705488246565,0.016517624642482014,0.6250198449451696,-0.02223954381806724,0.029830513710602344,-0.052070057528669604,0.364228396203156,0.0,0.0,-0.011014,-0.02224,0.730635,0.503748
10,0.23916855204327847,0.2077996214655063,0.013360335804700656,-0.013770956706107519,0.027131292510808196,0.3366796929204651,-0.040997637714514194,-0.00046697989373134866,-0.0405306578207829,0.011390409783684328,0.0,0.0,0.01336,-0.040998,0.674163,0.202399
11,0.19139017587852117,0.3416791630424419,-0.008779983743585896,0.006368449293081172,-0.01514843303666705,0.2959745373648512,0.012922583212787971,-0.004087110418146552,0.017009693630934516,0.1937312594191051,0.0,0.0,-0.00878,0.012923,0.788106,0.69915
12,0.406307826324726,0.21537425718937714,-0.007542506070028286,0.027491069775857004,-0.03503357584588529,0.4396837359490331,-0.00036569486117868887,-0.027351505762247454,0.026985810901068774,0.5033650434327167,0.0,0.0,-0.007543,-0.000366,0.809095,0.989505
13,0.30469612330802404,0.1926239254493018,-0.04625762497966624,-0.019999642386231344,-0.026257982593434905,0.4323534205446715,0.031179485903514357,0.013296387175601013,0.01788309872791337,0.42644664561651147,0.0,0.0,-0.046258,0.031179,0.152424,0.342329
14,0.38773369553265336,0.36421499053822143,-0.013468972956600132,-0.02059378819470022,0.007124815238100102,0.7429590832246232,-0.008544306683622093,0.01496672276436616,-0.02351102944798823,0.3889708182995332,0.0,0.0,-0.013469,-0.008544,0.706647,0.813593
15,0.3264992628910861,0.27367837168137193,0.04087004108167504,0.017202147014705377,0.023667894066969633,0.4208986964394891,-0.053351670980515936,-0.021422207503539882,-0.03192946347697603,0.4015283328494677,0.0,0.0,0.04087,-0.053352,0.215392,0.109445
16,0.20191936275843272,0.23592351964939504,0.013285671632580766,0.002678387113564576,0.010607284519016194,0.20159967727911499,-0.07401174427774182,-0.009283487557963915,-0.06472825671977792,0.12543262759929055,0.0,1.0,0.013286,-0.074012,0.681659,0.027486
17,0.25223569285681924,0.30966637412213577,-0.023482422843031293,0.003206062197244762,-0.02668848504027603,0.10724571848409926,-0.027530832339238507,-0.005166792248989071,-0.022364040090249445,0.18767294011758093,0.0,0.0,-0.023482,-0.027531,0.469765,0.408296
18,0.2328888009923297,0.29470441736652314,-0.07410675094188247,-0.013808940562760528,-0.06029781037912198,0.18633849665855753,0.09125516931376447,0.01777320038796563,0.07348196892579886,0.19476376540221713,1.0,1.0,-0.074107,0.091255,0.030485,0.008496
19,0.24971531459101143,0.21794086903154067,-0.0727981601402002,-0.01880707163568377,-0.05399108850451639,0.25834542520667697,0.06759411785143621,0.021365124146864155,0.046228993704572036,0.3160796357136008,1.0,1.0,-0.072798,0.067594,0.022489,0.035482
20,0.2901612226146016,0.3859248801643637,0.04631823174429063,0.011773901774117579,0.03454432997017308,0.2541958388894859,-0.08071789417819532,-0.0177303197722032,-0.06298757440599209,0.2196578584305136,0.0,1.0,0.046318,-0.080718,0.156922,0.015992
21,0.33807783580241796,0.1697314630005816,-0.001796965316304305,-0.019919487068860875,0.018122521752556582,0.5236181707009727,-0.04778712207170389,0.015702157203869513,-0.06348927927557335,0.19828099983949152,0.0,0.0,-0.001797,-0.047787,0.956022,0.15942
22,0.15370738271887383,0.2875402940715463,0.003908238876281625,0.017966733516042922,-0.014058494639761318,0.5610181269789529,-0.013095326772226613,-0.02425907265530452,0.01116374588307792,0.6848430942619252,0.0,0.0,0.003908,-0.013095,0.914043,0.689155
23,0.3585648368848304,0.25232281919788385,-0.023973346506736902,0.000553062333534424,-0.02452640884027133,0.022052392161764155,0.020329807703533345,0.011136495172743559,0.009193312530789768,0.547791466360404,0.0,0.0,-0.023973,0.02033,0.468266,0.555722
24,0.24556815434072427,0.23886326645956385,-0.06209191790829197,-0.0050858053755957365,-0.05700611253269623,0.08190768697316339,0.010521887216779782,-0.0027050904210356667,0.013226977637815463,0.16978903247484195,0.0,0.0,-0.062092,0.010522,0.058971,0.751624
25,0.2263328698791327,0.23881820032526327,-0.016799826563325782,-0.011089223323977677,-0.005710603239348138,0.6600796313091446,0.000876413248264072,0.016099345208951333,-0.01522293196068724,0.5139902543406649,0.0,0.0,-0.0168,0.000876,0.632184,0.976012
26,0.3465868371142395,0.4008274681313948,-0.032199419082964864,0.0019870274012902126,-0.034186446484255055,0.05493051089251946,-0.017176006226860746,0.0013874897209877907,-0.018563495947848525,0.06954492093867154,0.0,0.0,-0.032199,-0.017176,0.314343,0.588206
27,0.36609204270227136,0.33797190604869065,-0.02656806896576085,-0.014555612709478966,-0.012012456256281879,0.5478611459582278,0.023959784795347043,0.017122029037006933,0.006837755758340103,0.7146153099143032,0.0,0.0,-0.026568,0.02396,0.410795,0.444278
28,0.28638054183088407,0.3227252800162574,-0.0494815699136554,-0.0035443147715637432,-0.04593725514209169,0.07162898787868932,-0.009067969836498642,0.0028741073071946637,-0.011942077143693306,0.19398430930187371,0.0,0.0,-0.049482,-0.009068,0.143928,0.784608
29,0.3733350284579547,0.45382950022452867,-0.0481641982391863,-0.013284429801640473,-0.03487976843754587,0.27581544564842925,0.03399598466964369,0.011256020472947595,0.022739964196696064,0.33109852773285114,0.0,0.0,-0.048164,0.033996,0.144428,0.295852
30,0.2833485073759144,0.28991311372932677,-0.05754105029615432,-0.021474180642425667,-0.03606686965372869,0.37319757863128283,0.06617421687211432,0.023589609085599105,0.042584607786515204,0.35647734420775173,0.0,1.0,-0.057541,0.066174,0.081459,0.038981
